epoch,train_r2,validation_r2,train_rmse,validation_rmse,time,band_1,band_2
0,0,0,0.44882,0.4442,2.11,3914,2935
1,0,0,0.44173,0.43775,2.12,3698,1398
2,0,0,0.43774,0.43511,2.13,3826,1810
3,0,0,0.42673,0.42428,2.14,3436,1918
4,0,0,0.42101,0.41668,2.15,3190,2723
5,0,0,0.41368,0.41097,2.16,2786,3131
6,0,0,0.4097,0.40774,2.17,2490,2957
7,0,0,0.40489,0.40321,2.18,2667,3064
8,0,0,0.40078,0.39936,2.19,2721,3116
9,0,0,0.39653,0.39548,2.19,2731,3132
10,0,0,0.39253,0.39154,2.2,2764,3165
11,0,0,0.38847,0.38778,2.21,2774,3180
12,0,0,0.38429,0.3842,2.22,2719,3141
13,0,0,0.38016,0.38047,2.23,2723,3150
14,0,0,0.37605,0.37676,2.24,2729,3159
15,0,0,0.37215,0.37316,2.25,2719,3154
16,0,0,0.36801,0.37156,2.26,2965,3346
17,0,0,0.3702,0.37156,2.27,3351,3627
18,0,0,0.3649,0.36624,2.28,3572,3780
19,0,0,0.3682,0.37009,2.28,3732,3887
20,0,0,0.36475,0.36722,2.29,3843,3961
21,0,0,0.36181,0.36384,2.3,3916,4009
22,0,0,0.35708,0.35891,2.31,3970,4044
23,0,0,0.35182,0.35406,2.32,4015,4074
24,0,0,0.34689,0.34865,2.33,4050,4097
25,0,0,0.34081,0.34302,2.34,4076,4114
26,0,0,0.33527,0.33869,2.35,4097,4128
27,0,0,0.33073,0.33501,2.36,4114,4139
28,0,0,0.32662,0.33152,2.36,4127,4148
29,0,0,0.3228,0.32808,2.37,4137,4155
30,0,0,0.31902,0.32476,2.38,4145,4160
31,0,0,0.31533,0.32147,2.39,4152,4165
32,0,0,0.31173,0.31823,2.4,4157,4168
33,0,0,0.3082,0.31515,2.41,4162,4171
34,0,0,0.30476,0.31215,2.41,4165,4174
35,0,0,0.30134,0.30923,2.42,4168,4176
36,0,0,0.29801,0.30637,2.43,4171,4178
37,0,0,0.29478,0.30358,2.44,4173,4179
38,0,0,0.29158,0.30087,2.45,4175,4180
39,0,0,0.28849,0.29825,2.46,4177,4182
40,0,0,0.2854,0.2957,2.46,4178,4183
41,0,0,0.28243,0.29318,2.47,4179,4184
42,0,0,0.27951,0.29075,2.48,4180,4184
43,0,0,0.27659,0.28832,2.49,4181,4185
44,0,0,0.27377,0.28599,2.5,4182,4186
45,0,0,0.27101,0.28373,2.5,4183,4186
46,0,0,0.26826,0.28148,2.51,4184,4187
47,0,0,0.26557,0.2793,2.52,4184,4187
48,0,0,0.26296,0.27719,2.53,4185,4187
49,0,0,0.2604,0.27512,2.54,4185,4188
50,0,0,0.25788,0.27307,2.55,4186,4188
51,0,0,0.25539,0.27107,2.56,4186,4188
52,0,0,0.25294,0.26913,2.56,4187,4189
53,0,0,0.25056,0.26722,2.57,4187,4189
54,0,0,0.24823,0.26537,2.58,4187,4189
55,0,0,0.24595,0.26356,2.59,4188,4189
56,0,0,0.24372,0.26181,2.59,4188,4189
57,0,0,0.24153,0.26009,2.6,4188,4190
58,0,0,0.23938,0.25843,2.61,4188,4190
59,0,0,0.23727,0.25681,2.62,4188,4190
60,0,0,0.23519,0.25523,2.62,4189,4190
61,0,0,0.23317,0.25369,2.63,4189,4190
62,0,0,0.23118,0.25219,2.64,4189,4190
63,0,0,0.22924,0.25073,2.65,4189,4190
64,0,0,0.22735,0.2493,2.65,4189,4190
65,0,0,0.2255,0.24792,2.66,4189,4190
66,0,0,0.2237,0.24657,2.67,4190,4191
67,0,0,0.22194,0.24526,2.68,4190,4191
68,0,0,0.22021,0.24399,2.69,4190,4191
69,0,0,0.21853,0.24276,2.69,4190,4191
70,0,0,0.21688,0.24156,2.7,4190,4191
71,0,0,0.21528,0.2404,2.71,4190,4191
72,0,0,0.21371,0.23928,2.72,4190,4191
73,0,0,0.21217,0.23819,2.73,4190,4191
74,0,0,0.21068,0.23713,2.74,4190,4191
75,0,0,0.20922,0.23611,2.74,4190,4191
76,0,0,0.2078,0.23512,2.75,4190,4191
77,0,0,0.20642,0.23417,2.76,4191,4191
78,0,0,0.20507,0.23325,2.77,4191,4191
79,0,0,0.20376,0.23236,2.78,4191,4191
80,0,0,0.20249,0.2315,2.78,4191,4191
81,0,0,0.20125,0.23066,2.79,4191,4191
82,0,0,0.20004,0.22986,2.8,4191,4191
83,0,0,0.19887,0.22909,2.81,4191,4191
84,0,0,0.19774,0.22835,2.82,4191,4191
85,0,0,0.19663,0.22763,2.82,4191,4191
86,0,0,0.19556,0.22694,2.83,4191,4191
87,0,0,0.19452,0.22627,2.84,4191,4191
88,0,0,0.19351,0.22563,2.85,4191,4191
89,0,0,0.19253,0.22502,2.85,4191,4191
90,0,0,0.19158,0.22443,2.86,4191,4191
91,0,0,0.19066,0.22386,2.87,4191,4191
92,0,0,0.18977,0.22332,2.88,4191,4191
93,0,0,0.18891,0.22279,2.88,4191,4191
94,0,0,0.18807,0.22229,2.89,4191,4191
95,0,0,0.18726,0.22181,2.9,4191,4191
96,0,0,0.18648,0.22135,2.91,4191,4191
97,0,0,0.18572,0.22091,2.92,4191,4191
98,0,0,0.18499,0.22049,2.92,4191,4191
99,0,0,0.18428,0.22009,2.93,4191,4191
100,0,0,0.1836,0.21971,2.94,4191,4191
101,0,0,0.18294,0.21934,2.94,4191,4191
102,0,0,0.1823,0.21899,2.95,4191,4191
103,0,0,0.18168,0.21866,2.96,4191,4191
104,0,0,0.18109,0.21834,2.97,4191,4191
105,0,0,0.18052,0.21804,2.98,4191,4191
106,0,0,0.17997,0.21775,2.98,4191,4191
107,0,0,0.17943,0.21748,2.99,4191,4191
108,0,0,0.17892,0.21722,3.0,4191,4191
109,0,0,0.17843,0.21698,3.01,4191,4191
110,0,0,0.17795,0.21674,3.01,4191,4191
111,0,0,0.17749,0.21652,3.02,4191,4191
112,0,0,0.17705,0.21631,3.03,4191,4191
113,0,0,0.17663,0.21611,3.04,4191,4191
114,0,0,0.17622,0.21593,3.05,4192,4191
115,0,0,0.17583,0.21575,3.05,4192,4191
116,0,0,0.17546,0.21559,3.06,4192,4191
117,0,0,0.17509,0.21543,3.07,4192,4191
118,0,0,0.17475,0.21528,3.08,4192,4191
119,0,0,0.17441,0.21514,3.08,4192,4191
120,0,0,0.17409,0.21501,3.09,4192,4191
121,0,0,0.17379,0.21489,3.1,4192,4191
122,0,0,0.17349,0.21478,3.11,4192,4191
123,0,0,0.17321,0.21467,3.11,4192,4191
124,0,0,0.17294,0.21457,3.12,4192,4191
125,0,0,0.17268,0.21448,3.13,4192,4191
126,0,0,0.17243,0.21439,3.14,4192,4191
127,0,0,0.17219,0.21431,3.15,4192,4191
128,0,0,0.17196,0.21424,3.15,4192,4191
129,0,0,0.17174,0.21417,3.16,4192,4191
130,0,0,0.17153,0.2141,3.17,4192,4191
131,0,0,0.17133,0.21404,3.18,4192,4191
132,0,0,0.17114,0.21399,3.18,4192,4191
133,0,0,0.17096,0.21394,3.19,4192,4191
134,0,0,0.17078,0.21389,3.2,4192,4191
135,0,0,0.17061,0.21385,3.21,4192,4191
136,0,0,0.17045,0.21381,3.21,4192,4191
137,0,0,0.1703,0.21378,3.22,4192,4191
138,0,0,0.17015,0.21375,3.23,4192,4191
139,0,0,0.17001,0.21372,3.24,4192,4191
140,0,0,0.16987,0.21369,3.25,4192,4191
141,0,0,0.16974,0.21367,3.26,4192,4191
142,0,0,0.16962,0.21365,3.26,4192,4191
143,0,0,0.1695,0.21363,3.27,4192,4191
144,0,0,0.16939,0.21362,3.28,4192,4191
145,0,0,0.16928,0.2136,3.29,4192,4191
146,0,0,0.16917,0.21359,3.29,4192,4191
147,0,0,0.16907,0.21358,3.3,4192,4191
148,0,0,0.16898,0.21358,3.31,4192,4191
149,0,0,0.16889,0.21357,3.32,4192,4191
150,0,0,0.1688,0.21356,3.33,4192,4191
151,0,0,0.16872,0.21356,3.34,4192,4191
