epoch,train_r2,validation_r2,train_rmse,validation_rmse,time,band_1,band_2,band_3,band_4,band_5,band_6,band_7,band_8,band_9,band_10
0,0,0,0.30868,0.34844,2.2,2663,1506,2529,2026,2089,3146,2860,1863,3137,3774
1,0,0,0.30465,0.34594,2.23,3225,3348,3184,2371,2126,2837,3596,613,3124,4021
2,0,0,0.29894,0.34139,2.25,3564,3817,3135,2344,2290,2521,3811,227,3430,4118
3,0,0,0.29389,0.3368,2.28,3838,3992,2963,2185,2364,1961,3862,114,3705,4156
4,0,0,0.28946,0.33241,2.3,3964,4061,3319,1976,2437,1752,3931,71,3854,4173
5,0,0,0.28476,0.328,2.32,3988,4093,3473,2071,2620,1863,4005,47,3929,4183
6,0,0,0.28026,0.32384,2.34,4010,4111,3519,2057,2774,1654,4038,33,3983,4187
7,0,0,0.27654,0.32035,2.36,4043,4124,3567,1925,2850,1341,4051,25,4021,4190
8,0,0,0.27147,0.31541,2.39,4073,4133,3478,1790,2881,950,4057,20,4044,4191
9,0,0,0.266,0.31005,2.41,4100,4138,3295,1579,2903,539,4051,16,4065,4192
10,0,0,0.26003,0.30469,2.44,4126,4143,3108,1334,2850,304,4037,14,4079,4193
11,0,0,0.255,0.30044,2.46,4144,4147,2781,1138,2816,166,4023,12,4091,4193
12,0,0,0.25115,0.29738,2.48,4155,4149,2370,1003,2777,99,4008,10,4098,4193
13,0,0,0.24776,0.29471,2.5,4163,4151,2044,891,2723,65,3994,9,4104,4194
14,0,0,0.24375,0.291,2.52,4170,4153,1822,793,2662,47,3978,9,4109,4194
15,0,0,0.23995,0.28749,2.54,4174,4155,1632,728,2609,36,3964,8,4113,4194
16,0,0,0.23553,0.28332,2.56,4175,4155,1334,730,2645,29,3964,7,4116,4194
17,0,0,0.23114,0.27922,2.58,4177,4158,1147,758,2653,26,3982,6,4118,4195
18,0,0,0.22642,0.27444,2.6,4179,4160,936,814,2650,25,4002,6,4118,4196
19,0,0,0.22176,0.26925,2.62,4181,4163,726,893,2634,24,4021,5,4117,4196
20,0,0,0.21716,0.26446,2.64,4182,4165,555,978,2626,24,4039,5,4115,4197
21,0,0,0.21276,0.26011,2.66,4184,4167,428,1061,2625,23,4054,4,4114,4197
22,0,0,0.20858,0.25626,2.68,4185,4169,334,1134,2622,22,4068,4,4114,4198
23,0,0,0.20447,0.25254,2.7,4187,4171,266,1188,2613,21,4077,3,4114,4198
24,0,0,0.20034,0.24879,2.72,4188,4172,217,1228,2609,20,4085,3,4114,4198
25,0,0,0.19621,0.24491,2.74,4189,4173,184,1288,2649,20,4095,3,4117,4198
26,0,0,0.19226,0.24126,2.76,4189,4175,158,1329,2681,19,4102,2,4119,4199
27,0,0,0.18839,0.23775,2.78,4190,4176,139,1355,2712,18,4108,2,4122,4199
28,0,0,0.18459,0.23427,2.8,4190,4176,125,1354,2730,18,4111,2,4125,4199
29,0,0,0.18098,0.23094,2.82,4191,4177,116,1345,2760,17,4113,2,4129,4199
30,0,0,0.17744,0.22765,2.84,4191,4177,110,1318,2776,16,4113,2,4132,4199
31,0,0,0.17401,0.22448,2.86,4192,4178,104,1297,2779,16,4112,2,4134,4199
32,0,0,0.17066,0.22121,2.88,4192,4178,100,1240,2758,15,4108,2,4136,4199
33,0,0,0.1675,0.21805,2.9,4192,4177,98,1180,2731,14,4102,2,4137,4199
34,0,0,0.1644,0.21487,2.92,4193,4177,98,1088,2681,13,4092,2,4139,4199
35,0,0,0.16107,0.21153,2.94,4193,4177,101,974,2632,12,4079,2,4141,4199
36,0,0,0.15803,0.20817,2.97,4194,4176,109,850,2586,11,4062,2,4144,4199
37,0,0,0.15487,0.20457,3.0,4194,4176,121,718,2544,9,4040,2,4148,4199
38,0.00163,0,0.15216,0.20152,3.02,4195,4176,139,590,2504,8,4013,2,4152,4199
39,0.02845,0,0.1501,0.19899,3.04,4195,4175,162,477,2459,7,3976,2,4156,4199
40,0.04717,0.01807,0.14865,0.19713,3.06,4195,4175,191,388,2421,6,3935,2,4160,4199
41,0.05635,0.02848,0.14793,0.19609,3.08,4196,4175,224,322,2398,6,3893,2,4163,4199
42,0.05887,0.03487,0.14773,0.19544,3.1,4196,4175,260,270,2365,5,3842,2,4166,4198
43,0.06119,0.03808,0.14755,0.19511,3.12,4196,4174,294,237,2352,5,3820,2,4168,4198
44,0.06449,0.04412,0.14729,0.1945,3.14,4196,4174,328,221,2378,4,3823,2,4170,4198
45,0.06659,0.04864,0.14713,0.19404,3.16,4196,4174,368,207,2403,4,3826,2,4172,4198
46,0.06667,0.05175,0.14712,0.19372,3.18,4196,4174,414,196,2424,4,3828,2,4174,4198
47,0.06521,0.05409,0.14723,0.19348,3.2,4196,4174,456,187,2440,4,3833,2,4175,4198
48,0.06466,0.05774,0.14728,0.19311,3.22,4196,4174,485,181,2448,4,3842,2,4176,4198
49,0.0649,0.06159,0.14726,0.19271,3.24,4196,4174,504,175,2452,4,3856,1,4177,4198
50,0.06443,0.06465,0.1473,0.1924,3.26,4196,4174,505,172,2455,4,3872,1,4178,4199
51,0.06421,0.06719,0.14731,0.19214,3.28,4196,4174,494,169,2457,4,3887,1,4178,4199
52,0.06427,0.06964,0.14731,0.19189,3.3,4196,4174,480,168,2458,4,3902,1,4178,4199
53,0.06549,0.07363,0.14721,0.19147,3.32,4196,4174,468,166,2464,4,3913,1,4179,4199
54,0.06841,0.07826,0.14698,0.191,3.34,4197,4175,446,166,2461,4,3926,1,4179,4199
55,0.07179,0.08149,0.14672,0.19066,3.36,4197,4175,429,166,2461,4,3938,1,4179,4199
56,0.07659,0.084,0.14634,0.1904,3.38,4197,4175,437,164,2477,4,3947,1,4180,4199
57,0.08296,0.086,0.14583,0.19019,3.4,4197,4175,463,162,2502,4,3953,1,4180,4199
58,0.08933,0.08799,0.14532,0.18998,3.42,4197,4175,484,160,2520,4,3959,1,4181,4199
59,0.09545,0.08949,0.14483,0.18983,3.44,4197,4175,507,159,2545,4,3965,1,4181,4199
60,0.10138,0.0914,0.14436,0.18963,3.46,4197,4175,517,158,2565,3,3971,1,4181,4199
61,0.10768,0.09469,0.14385,0.18929,3.48,4197,4175,508,159,2579,3,3977,1,4181,4199
