epoch,train_r2,validation_r2,train_rmse,validation_rmse,time,band_1,band_2,band_3,band_4,band_5,band_6,band_7,band_8,band_9,band_10
0,0,0,0.2456,0.24504,0.36,222,235,301,227,270,329,263,280,279,218
1,0,0,0.24142,0.24085,0.39,209,234,295,230,278,342,262,268,279,202
2,0,0,0.23674,0.23616,0.41,204,231,290,234,281,349,257,261,281,194
3,0,0,0.23143,0.23081,0.43,199,228,280,238,284,355,248,254,280,181
4,0,0,0.22581,0.22515,0.45,193,227,271,242,286,362,244,247,277,168
5,0,0,0.2203,0.21966,0.47,183,225,262,246,289,370,241,237,275,156
6,0,0,0.21634,0.2157,0.49,178,224,252,250,287,372,239,229,271,147
7,0,0,0.2118,0.21112,0.51,176,224,243,253,283,371,238,225,265,140
8,0,0,0.20716,0.20642,0.54,177,223,237,257,273,364,237,224,260,133
9,0,0,0.20249,0.20171,0.56,177,221,230,263,263,358,236,223,255,126
10,0,0,0.19827,0.19748,0.58,176,221,220,267,258,356,233,220,248,118
11,0,0,0.19425,0.19343,0.6,175,218,212,272,251,353,227,218,246,110
12,0,0,0.18991,0.18908,0.63,172,217,203,274,252,356,220,214,243,103
13,0,0,0.18564,0.18477,0.65,168,217,195,274,258,361,213,210,240,96
14,0,0,0.18095,0.18006,0.67,163,218,186,274,263,367,207,204,237,90
15,0,0,0.17764,0.17682,0.69,156,219,176,274,270,374,201,197,233,83
16,0,0,0.17323,0.17243,0.71,152,219,167,276,270,375,198,194,228,76
17,0,0,0.16785,0.1671,0.73,152,220,160,279,265,372,196,193,222,70
18,0,0,0.16339,0.16261,0.75,149,219,155,283,259,369,199,191,217,65
19,0,0,0.16002,0.15921,0.78,147,218,152,287,255,366,201,191,212,61
20,0,0,0.15654,0.15575,0.8,144,218,149,290,252,365,204,192,208,56
21,0,0,0.153,0.15221,0.82,141,219,148,291,251,365,206,195,203,52
22,0,0,0.14949,0.14867,0.84,137,220,146,292,253,367,206,198,199,47
23,0,0,0.14618,0.14542,0.86,133,222,143,291,257,370,206,200,194,43
24,0,0,0.14312,0.14237,0.88,129,224,140,291,258,371,208,202,189,39
25,0,0,0.14,0.13928,0.9,126,225,137,292,256,370,211,203,183,36
26,0,0,0.13795,0.1372,0.92,123,225,133,291,251,365,217,204,177,34
27,0.00886,0.01283,0.13578,0.13507,0.94,119,227,128,294,251,366,220,203,171,32
28,0.03285,0.03625,0.13413,0.13345,0.97,116,227,124,295,250,365,222,202,165,29
