epoch,train_r2,validation_r2,train_rmse,validation_rmse,time,band_1,band_2
0,0,0,0.15974,0.17381,0.32,284,297
1,0,0,0.15804,0.17245,0.33,276,288
2,0,0,0.15639,0.17115,0.34,273,284
3,0,0,0.15477,0.16988,0.35,268,278
4,0,0,0.15317,0.16864,0.36,264,273
5,0,0,0.15168,0.16748,0.37,259,267
6,0,0,0.15021,0.16643,0.38,254,261
7,0,0,0.14929,0.1657,0.39,249,255
8,0,0,0.14775,0.16462,0.39,251,258
9,0,0.0048,0.14653,0.16376,0.4,254,262
10,0,0.01379,0.14552,0.16302,0.41,255,265
11,0,0.02173,0.14453,0.16236,0.42,255,273
12,0,0.02906,0.14353,0.16175,0.43,246,282
13,0,0.03634,0.14262,0.16114,0.43,241,280
14,0,0.04355,0.14171,0.16054,0.44,236,275
15,0,0.04995,0.14088,0.16,0.45,229,270
16,0,0.05512,0.14017,0.15956,0.46,222,263
17,0,0.05909,0.13959,0.15923,0.47,215,260
18,0.00196,0.06359,0.13894,0.15885,0.48,207,262
19,0.01026,0.06752,0.13836,0.15851,0.49,200,266
20,0.0172,0.07055,0.13788,0.15826,0.49,192,271
21,0.02336,0.07306,0.13745,0.15804,0.5,184,274
22,0.0292,0.07531,0.13703,0.15785,0.51,177,275
23,0.03446,0.07737,0.13666,0.15767,0.52,169,274
24,0.03934,0.07921,0.13632,0.15752,0.52,161,273
25,0.04379,0.08079,0.136,0.15738,0.53,154,270
26,0.04781,0.08212,0.13571,0.15727,0.54,147,267
27,0.05136,0.08324,0.13546,0.15717,0.55,139,265
28,0.05464,0.08433,0.13523,0.15708,0.56,131,263
29,0.05795,0.08553,0.13499,0.15697,0.56,124,264
30,0.06127,0.08687,0.13475,0.15686,0.57,116,265
31,0.06436,0.08832,0.13453,0.15674,0.58,108,268
32,0.06728,0.08978,0.13432,0.15661,0.59,101,270
33,0.07054,0.09174,0.13408,0.15644,0.59,92,267
34,0.07356,0.09383,0.13387,0.15626,0.6,84,264
35,0.07658,0.096,0.13365,0.15607,0.61,77,266
36,0.07917,0.09815,0.13346,0.15589,0.62,71,269
37,0.08126,0.10022,0.13331,0.15571,0.63,65,271
38,0.08305,0.10199,0.13318,0.15556,0.63,60,271
39,0.08438,0.1035,0.13308,0.15543,0.64,56,270
40,0.08531,0.1048,0.13302,0.15531,0.65,52,270
41,0.08618,0.10597,0.13295,0.15521,0.66,50,271
42,0.08719,0.10706,0.13288,0.15512,0.66,49,274
43,0.08835,0.10815,0.13279,0.15502,0.67,49,275
44,0.08972,0.1093,0.13269,0.15492,0.68,49,276
45,0.09129,0.11051,0.13258,0.15482,0.69,50,276
46,0.09302,0.11176,0.13245,0.15471,0.69,51,274
47,0.09485,0.11297,0.13232,0.1546,0.7,53,273
48,0.09661,0.11406,0.13219,0.15451,0.71,55,272
49,0.09819,0.11499,0.13208,0.15443,0.72,58,271
50,0.09949,0.11582,0.13198,0.15435,0.73,60,271
51,0.1006,0.11668,0.1319,0.15428,0.73,63,270
52,0.10167,0.11751,0.13182,0.15421,0.74,65,269
53,0.10281,0.11858,0.13174,0.15411,0.75,66,268
54,0.10406,0.11993,0.13164,0.15399,0.76,66,268
55,0.10537,0.12141,0.13155,0.15387,0.76,66,268
56,0.10677,0.12308,0.13145,0.15372,0.77,66,268
57,0.10824,0.12496,0.13134,0.15355,0.78,65,269
58,0.10977,0.12706,0.13122,0.15337,0.79,64,270
59,0.1113,0.12915,0.13111,0.15319,0.79,62,270
60,0.11276,0.13125,0.131,0.153,0.8,60,270
61,0.11413,0.13331,0.1309,0.15282,0.81,59,270
62,0.1154,0.13528,0.13081,0.15265,0.82,58,271
63,0.11662,0.13713,0.13072,0.15248,0.83,57,272
64,0.11785,0.13885,0.13063,0.15233,0.83,57,274
65,0.11913,0.14052,0.13053,0.15218,0.84,57,274
66,0.12047,0.14213,0.13043,0.15204,0.85,57,273
67,0.12186,0.14354,0.13033,0.15191,0.86,58,273
68,0.12321,0.14491,0.13023,0.15179,0.86,59,273
69,0.12451,0.1463,0.13013,0.15167,0.87,60,271
70,0.12576,0.14773,0.13004,0.15154,0.88,61,269
71,0.12701,0.1491,0.12995,0.15142,0.89,61,269
72,0.12828,0.15057,0.12985,0.15129,0.89,62,270
73,0.12963,0.1523,0.12975,0.15114,0.9,62,269
74,0.131,0.15416,0.12965,0.15097,0.91,61,269
75,0.1324,0.15602,0.12955,0.1508,0.92,61,270
76,0.1338,0.15785,0.12944,0.15064,0.93,61,272
77,0.13518,0.15959,0.12934,0.15048,0.93,60,273
78,0.1366,0.16147,0.12923,0.15032,0.94,60,273
79,0.13806,0.16344,0.12912,0.15014,0.95,59,272
80,0.13951,0.16533,0.12901,0.14997,0.96,59,271
81,0.14102,0.1671,0.1289,0.14981,0.97,59,271
82,0.14257,0.16875,0.12878,0.14966,0.97,60,271
83,0.14415,0.17032,0.12867,0.14952,0.98,61,273
84,0.14579,0.17197,0.12854,0.14937,0.99,62,273
85,0.14754,0.17364,0.12841,0.14922,1.0,62,273
86,0.14936,0.17539,0.12827,0.14906,1.0,62,272
87,0.15124,0.17729,0.12813,0.14889,1.01,62,271
88,0.15317,0.1793,0.12799,0.14871,1.02,62,270
89,0.15519,0.18128,0.12783,0.14853,1.03,62,271
90,0.15729,0.18336,0.12767,0.14834,1.03,63,272
91,0.15947,0.1855,0.12751,0.14815,1.04,63,273
92,0.16173,0.18775,0.12734,0.14794,1.05,62,274
93,0.16405,0.19019,0.12716,0.14772,1.06,62,274
94,0.16639,0.19265,0.12698,0.1475,1.07,62,273
95,0.16878,0.19502,0.1268,0.14728,1.07,62,273
96,0.17117,0.19721,0.12662,0.14708,1.08,62,274
97,0.17358,0.1995,0.12643,0.14687,1.09,62,274
98,0.176,0.20206,0.12625,0.14663,1.1,62,273
99,0.17842,0.2046,0.12606,0.1464,1.1,62,273
100,0.18086,0.20707,0.12588,0.14617,1.11,62,273
101,0.1833,0.20958,0.12569,0.14594,1.12,62,274
102,0.18572,0.2122,0.1255,0.1457,1.13,61,274
103,0.18809,0.21501,0.12532,0.14544,1.14,61,274
104,0.19036,0.21802,0.12514,0.14516,1.14,60,273
105,0.19261,0.221,0.12497,0.14488,1.15,60,273
106,0.19486,0.22384,0.1248,0.14462,1.16,60,274
107,0.19708,0.22658,0.12462,0.14436,1.17,60,275
108,0.19926,0.22934,0.12445,0.1441,1.17,60,275
109,0.20133,0.23216,0.12429,0.14384,1.18,60,275
110,0.20332,0.23513,0.12414,0.14356,1.19,59,273
111,0.20529,0.23801,0.12398,0.14329,1.2,59,273
112,0.20728,0.24062,0.12383,0.14305,1.21,59,274
113,0.20917,0.24321,0.12368,0.1428,1.21,59,275
114,0.21104,0.24598,0.12354,0.14254,1.22,59,275
115,0.21283,0.24888,0.1234,0.14227,1.23,59,274
116,0.21447,0.25171,0.12327,0.142,1.24,58,273
117,0.21603,0.25434,0.12314,0.14175,1.24,58,274
118,0.21753,0.25675,0.12303,0.14152,1.25,58,275
119,0.21899,0.25908,0.12291,0.1413,1.26,59,275
120,0.22041,0.26148,0.1228,0.14107,1.27,59,275
121,0.22181,0.26379,0.12269,0.14085,1.27,59,274
122,0.22313,0.26597,0.12258,0.14064,1.28,59,273
123,0.22443,0.26795,0.12248,0.14045,1.29,59,273
124,0.22567,0.26986,0.12238,0.14027,1.3,59,274
125,0.22686,0.27174,0.12229,0.14008,1.31,59,274
126,0.22799,0.27388,0.1222,0.13988,1.31,59,274
127,0.22904,0.27606,0.12212,0.13967,1.32,59,273
128,0.23004,0.27779,0.12204,0.1395,1.33,59,274
129,0.23098,0.27927,0.12196,0.13936,1.34,59,274
130,0.23188,0.28076,0.12189,0.13921,1.35,59,274
131,0.23276,0.28237,0.12182,0.13906,1.35,59,274
132,0.2336,0.28399,0.12176,0.1389,1.36,59,273
133,0.23441,0.28543,0.12169,0.13876,1.37,59,273
134,0.2352,0.28672,0.12163,0.13864,1.38,59,273
135,0.23596,0.28805,0.12157,0.13851,1.39,59,274
136,0.23671,0.28959,0.12151,0.13836,1.39,59,274
137,0.23743,0.2911,0.12145,0.13821,1.4,59,273
138,0.23814,0.29234,0.12139,0.13809,1.41,59,273
139,0.23883,0.29337,0.12134,0.13799,1.41,59,274
140,0.23951,0.29446,0.12129,0.13788,1.42,60,273
141,0.24017,0.2957,0.12123,0.13776,1.43,59,273
142,0.24082,0.29707,0.12118,0.13763,1.44,59,273
143,0.24146,0.29826,0.12113,0.13751,1.45,59,273
144,0.24208,0.29922,0.12108,0.13742,1.45,59,274
145,0.24269,0.3002,0.12103,0.13732,1.46,59,274
146,0.24329,0.30136,0.12098,0.13721,1.47,59,274
147,0.24388,0.30251,0.12094,0.13709,1.48,59,273
148,0.24445,0.30342,0.12089,0.137,1.48,59,273
149,0.24502,0.3042,0.12085,0.13693,1.49,59,273
150,0.24557,0.30517,0.1208,0.13683,1.5,59,274
151,0.24612,0.30633,0.12076,0.13672,1.51,59,273
152,0.24666,0.30724,0.12071,0.13663,1.51,59,274
153,0.24718,0.30797,0.12067,0.13656,1.52,59,274
154,0.24769,0.30883,0.12063,0.13647,1.53,59,274
155,0.2482,0.30987,0.12059,0.13637,1.54,59,274
156,0.24869,0.31083,0.12055,0.13627,1.54,59,273
157,0.24919,0.31154,0.12051,0.1362,1.55,59,274
158,0.24967,0.31224,0.12047,0.13613,1.56,59,274
159,0.25016,0.31317,0.12043,0.13604,1.57,59,274
160,0.25063,0.31411,0.1204,0.13595,1.57,59,274
161,0.2511,0.31489,0.12036,0.13587,1.58,59,274
162,0.25156,0.31555,0.12032,0.13581,1.59,59,274
163,0.25202,0.31631,0.12028,0.13573,1.6,59,274
164,0.25248,0.3172,0.12025,0.13564,1.61,59,274
165,0.25294,0.31806,0.12021,0.13556,1.61,59,274
166,0.25339,0.31879,0.12017,0.13548,1.62,59,274
167,0.25384,0.31949,0.12014,0.13541,1.63,59,274
168,0.25428,0.32029,0.1201,0.13533,1.64,59,274
169,0.25472,0.32116,0.12007,0.13525,1.64,59,274
170,0.25516,0.3219,0.12003,0.13517,1.65,59,274
171,0.25559,0.32257,0.12,0.13511,1.66,59,274
172,0.25602,0.32331,0.11996,0.13503,1.67,59,274
173,0.25645,0.32409,0.11993,0.13496,1.68,59,274
174,0.25688,0.32483,0.11989,0.13488,1.69,59,274
175,0.2573,0.3255,0.11986,0.13481,1.69,59,274
176,0.25772,0.32604,0.11983,0.13476,1.7,59,274
177,0.25814,0.3267,0.11979,0.13469,1.71,59,274
178,0.25856,0.32737,0.11976,0.13463,1.72,59,274
179,0.25898,0.32807,0.11972,0.13456,1.73,59,274
180,0.25941,0.32871,0.11969,0.13449,1.73,59,274
181,0.25983,0.32932,0.11965,0.13443,1.74,59,274
182,0.26026,0.33015,0.11962,0.13435,1.75,59,274
183,0.26068,0.3309,0.11959,0.13427,1.76,59,274
184,0.2611,0.3314,0.11955,0.13422,1.76,59,274
185,0.26151,0.3321,0.11952,0.13415,1.77,59,274
186,0.26193,0.3329,0.11948,0.13407,1.78,59,274
187,0.26235,0.33348,0.11945,0.13401,1.79,59,274
188,0.26277,0.33393,0.11942,0.13397,1.79,59,274
189,0.2632,0.33456,0.11938,0.13391,1.8,59,274
190,0.26362,0.33512,0.11935,0.13385,1.81,59,274
191,0.26404,0.33576,0.11931,0.13379,1.82,59,274
192,0.26447,0.33633,0.11928,0.13373,1.82,59,274
193,0.2649,0.33688,0.11924,0.13367,1.83,59,274
194,0.26534,0.33784,0.11921,0.13358,1.84,59,274
195,0.26577,0.33814,0.11917,0.13355,1.85,59,274
196,0.26621,0.33877,0.11914,0.13348,1.86,59,274
197,0.26665,0.33966,0.1191,0.13339,1.86,59,274
198,0.26709,0.33997,0.11907,0.13336,1.87,59,274
199,0.26754,0.34045,0.11903,0.13331,1.88,59,274
200,0.268,0.34125,0.11899,0.13323,1.89,59,274
201,0.26845,0.34175,0.11896,0.13318,1.89,59,274
202,0.2689,0.34215,0.11892,0.13314,1.9,59,274
203,0.26935,0.3429,0.11888,0.13306,1.91,59,274
204,0.2698,0.3438,0.11885,0.13297,1.92,59,274
205,0.27025,0.34422,0.11881,0.13293,1.93,59,274
206,0.27069,0.34483,0.11877,0.13287,1.93,59,274
207,0.27115,0.34571,0.11874,0.13278,1.94,59,274
208,0.2716,0.34633,0.1187,0.13272,1.95,59,274
209,0.27206,0.34679,0.11866,0.13267,1.96,59,274
210,0.27252,0.34772,0.11862,0.13258,1.96,59,274
211,0.27298,0.34832,0.11859,0.13251,1.97,59,274
212,0.27343,0.34877,0.11855,0.13247,1.98,59,274
213,0.2739,0.34971,0.11851,0.13237,1.99,59,274
214,0.27437,0.35034,0.11847,0.13231,1.99,59,274
215,0.27484,0.35073,0.11844,0.13227,2.0,59,274
216,0.27533,0.3517,0.1184,0.13217,2.01,59,274
217,0.27581,0.35246,0.11836,0.13209,2.02,59,274
218,0.2763,0.35282,0.11832,0.13206,2.02,59,274
219,0.2768,0.35357,0.11827,0.13198,2.03,59,274
220,0.27731,0.35439,0.11823,0.1319,2.04,59,274
221,0.27782,0.35501,0.11819,0.13183,2.05,59,274
222,0.27832,0.3556,0.11815,0.13177,2.05,59,274
223,0.27884,0.35641,0.11811,0.13169,2.06,59,273
224,0.27935,0.35723,0.11807,0.13161,2.07,59,273
225,0.27986,0.35786,0.11802,0.13154,2.08,59,273
226,0.28036,0.35856,0.11798,0.13147,2.08,59,273
227,0.28087,0.35939,0.11794,0.13138,2.09,59,273
228,0.28137,0.36004,0.1179,0.13132,2.1,59,273
229,0.28188,0.36045,0.11786,0.13128,2.11,59,273
230,0.28239,0.36153,0.11782,0.13116,2.12,59,273
231,0.2829,0.36224,0.11778,0.13109,2.12,59,273
232,0.28339,0.36264,0.11773,0.13105,2.13,59,273
233,0.28389,0.3634,0.11769,0.13097,2.14,59,273
234,0.28439,0.36436,0.11765,0.13087,2.15,59,273
235,0.28489,0.36492,0.11761,0.13082,2.16,59,273
236,0.28538,0.36537,0.11757,0.13077,2.17,59,273
237,0.28588,0.36631,0.11753,0.13067,2.18,59,273
238,0.28636,0.36716,0.11749,0.13058,2.18,58,273
239,0.28684,0.36755,0.11745,0.13055,2.19,59,273
240,0.28732,0.36801,0.11741,0.1305,2.2,59,273
241,0.2878,0.36915,0.11737,0.13038,2.21,58,273
242,0.28828,0.36976,0.11733,0.13032,2.22,58,273
243,0.28875,0.37002,0.11729,0.13029,2.22,59,273
244,0.28923,0.37094,0.11725,0.13019,2.23,58,273
245,0.28971,0.37171,0.11721,0.13011,2.24,58,273
246,0.29018,0.37209,0.11718,0.13008,2.25,58,273
247,0.29066,0.37285,0.11714,0.13,2.25,58,273
