epoch,train_r2,validation_r2,train_rmse,validation_rmse,time,band_1,band_2,band_3,band_4,band_5,band_6,band_7,band_8,band_9,band_10,band_11,band_12,band_13,band_14,band_15,band_16,band_17,band_18,band_19,band_20
44,0,0,0.13802,0.13749,1.69,34,33,29,34,34,33,31,36,36,31,38,28,35,33,34,38,33,31,31,27
45,0,0,0.13795,0.13743,1.73,34,33,29,34,34,33,31,36,36,31,38,28,35,33,34,38,33,31,31,27
46,0,0,0.13788,0.13736,1.76,34,33,29,34,34,33,31,36,36,31,38,28,35,33,34,38,33,31,31,27
47,0,0,0.13781,0.1373,1.8,34,33,29,34,34,33,31,36,36,31,38,28,35,33,34,38,33,31,31,27
48,0,0,0.13774,0.13723,1.83,34,33,29,34,34,33,31,36,36,31,38,28,35,33,34,38,33,31,31,27
49,0,0,0.13766,0.13715,1.87,34,33,29,34,34,33,31,36,36,31,38,28,35,33,34,38,33,31,31,27
50,0,0,0.13757,0.13707,1.91,34,33,29,34,34,33,31,36,36,31,38,28,35,33,34,38,33,31,31,27
51,0,0,0.13749,0.13699,1.94,34,33,29,34,34,33,31,36,36,31,38,28,35,33,34,38,33,31,31,27
52,0,0,0.1374,0.1369,1.98,34,33,29,34,34,33,31,36,36,31,38,28,35,33,34,38,33,31,31,27
53,0,0,0.13731,0.13681,2.01,34,33,29,34,34,33,31,36,36,31,38,28,35,33,34,38,33,31,31,27
54,0,0,0.13721,0.13671,2.05,34,33,29,34,34,33,31,36,36,31,38,28,35,33,34,38,33,31,31,27
55,0,0,0.13712,0.13662,2.08,34,33,29,34,34,33,31,36,36,31,38,28,35,33,34,38,33,31,31,27
56,0,0,0.13704,0.13654,2.12,34,33,29,34,34,33,31,36,36,31,38,28,35,33,34,38,33,31,31,27
57,0,0,0.13695,0.13645,2.15,34,33,29,34,34,33,31,36,36,31,38,28,35,33,34,38,33,31,31,27
58,0,0,0.13686,0.13637,2.19,34,33,29,34,34,33,31,36,36,31,38,28,35,33,34,38,33,31,31,27
59,0,0,0.13678,0.13628,2.22,34,33,29,34,34,33,31,36,36,31,38,28,35,33,34,38,33,31,31,27
60,0,0,0.1367,0.1362,2.26,34,33,29,34,34,33,31,36,36,31,38,28,35,33,34,38,33,31,31,27
61,0,0,0.13661,0.13612,2.29,34,33,29,34,34,33,31,36,36,31,38,28,35,33,34,38,33,31,31,27
62,0,0,0.13653,0.13603,2.33,34,33,29,34,34,33,31,36,36,31,38,28,35,33,34,38,33,31,31,27
63,0,0,0.13644,0.13595,2.37,34,33,29,34,34,33,31,36,36,31,38,28,35,33,34,38,33,31,31,27
64,0.0004,0.00109,0.13636,0.13587,2.4,34,33,29,34,34,33,31,36,36,31,38,28,35,33,34,38,33,31,31,27
65,0.0017,0.00235,0.13627,0.13578,2.43,34,33,29,34,34,33,31,36,36,31,38,28,35,33,34,38,33,31,31,27
66,0.00302,0.00362,0.13618,0.13569,2.47,34,33,29,34,34,33,31,36,36,31,38,28,35,33,33,38,33,31,31,27
