epoch,train_r2,validation_r2,train_rmse,validation_rmse,time,band_1,band_2,band_3,band_4,band_5,band_6,band_7,band_8,band_9,band_10,band_11,band_12,band_13,band_14,band_15,band_16,band_17,band_18,band_19,band_20
0,0,0,0.14561,0.14552,0.4,218,273,244,224,301,321,265,269,231,215,265,330,258,229,241,211,271,212,317,273
1,0,0,0.14349,0.14337,0.44,208,280,238,224,313,331,272,260,228,198,271,347,258,219,246,203,255,203,329,261
2,0,0,0.14141,0.14127,0.47,198,287,232,224,324,340,279,250,225,180,278,364,258,210,251,194,238,194,342,249
3,0,0,0.13965,0.13948,0.51,200,292,233,221,335,344,273,256,228,171,272,372,249,195,242,196,235,188,354,249
4,0,0,0.1382,0.138,0.56,204,289,231,220,340,345,264,254,234,168,266,372,244,187,236,206,234,187,358,257
5,0,0,0.13697,0.13674,0.61,204,286,232,220,343,347,262,251,240,170,264,370,244,185,236,212,233,188,357,261
6,0.00734,0.00486,0.13588,0.13561,0.65,205,283,235,220,342,347,261,251,244,175,263,366,245,187,235,216,236,191,352,265
7,0.02074,0.01865,0.13496,0.13467,0.69,204,283,237,220,341,348,262,250,246,176,264,365,246,188,236,216,235,192,351,265
8,0.03168,0.0301,0.13421,0.13388,0.72,205,281,241,222,337,346,263,252,247,175,268,364,246,192,234,216,236,195,350,266
9,0.03977,0.03856,0.13364,0.13329,0.76,205,280,243,223,335,344,263,254,248,174,270,364,245,194,233,216,236,196,351,267
10,0.04622,0.0454,0.13319,0.13282,0.8,204,282,241,220,338,346,263,251,247,175,268,364,245,192,236,217,235,196,349,265
11,0.05038,0.04988,0.1329,0.13251,0.83,203,283,239,213,339,344,264,250,246,176,263,362,241,188,240,221,234,199,348,264
12,0.05236,0.05217,0.13277,0.13235,0.87,204,283,239,208,336,341,265,252,245,177,259,360,235,187,243,224,233,203,346,263
13,0.05321,0.05328,0.13271,0.13227,0.91,205,285,239,209,337,341,263,253,244,176,260,361,235,187,241,223,233,202,347,263
14,0.05292,0.05322,0.13273,0.13227,0.94,205,286,239,212,338,343,262,253,243,174,263,362,237,187,239,220,234,199,349,263
15,0.052,0.05245,0.13279,0.13233,0.98,206,287,239,216,340,346,259,253,243,173,266,364,240,188,236,217,233,195,351,263
16,0.05075,0.05133,0.13288,0.1324,1.02,206,287,238,217,340,347,257,253,243,172,267,365,241,188,235,216,233,194,352,263
17,0.04974,0.05042,0.13295,0.13247,1.06,208,287,236,218,339,346,255,253,242,170,266,365,239,188,234,217,233,193,353,264
18,0.04892,0.04965,0.13301,0.13252,1.09,211,287,233,219,338,344,250,253,241,169,263,364,238,187,232,219,233,192,354,267
19,0.0478,0.04854,0.13308,0.1326,1.13,213,286,230,219,337,342,246,253,241,167,261,364,236,186,231,221,233,191,356,269
20,0.04714,0.04789,0.13313,0.13264,1.17,215,285,227,220,336,340,242,252,241,166,259,363,234,185,229,223,233,190,357,271
21,0.04699,0.04773,0.13314,0.13266,1.2,218,285,224,221,334,338,238,252,240,164,257,362,232,184,228,225,233,189,359,273
22,0.04711,0.04784,0.13313,0.13265,1.24,220,284,221,222,333,336,234,252,239,163,255,361,231,184,226,227,233,189,359,275
23,0.04746,0.04816,0.13311,0.13263,1.28,223,283,218,222,331,334,231,252,239,163,254,360,230,184,225,228,234,188,360,277
24,0.04818,0.04882,0.13306,0.13258,1.31,225,282,216,223,330,333,229,253,238,163,253,359,228,184,224,229,234,188,360,279
25,0.04926,0.04983,0.13298,0.13251,1.35,226,281,215,223,328,332,227,253,238,163,252,358,228,185,223,230,235,188,360,280
26,0.05059,0.05107,0.13289,0.13242,1.39,228,281,213,224,327,330,225,253,237,163,251,357,227,185,223,231,236,187,360,281
27,0.05204,0.05242,0.13279,0.13233,1.42,229,280,212,224,325,329,224,253,237,163,251,356,226,186,222,231,237,187,359,283
28,0.05352,0.05379,0.13268,0.13223,1.46,231,279,211,225,324,327,222,253,237,164,250,355,226,187,222,232,238,187,359,284
29,0.05499,0.05514,0.13258,0.13214,1.5,232,278,210,226,322,325,221,253,236,164,249,353,226,188,221,233,239,187,358,286
30,0.05641,0.05644,0.13248,0.13205,1.54,234,276,208,226,321,323,220,252,236,165,248,352,226,189,221,234,240,188,357,287
31,0.05773,0.05765,0.13239,0.13196,1.57,238,274,209,227,319,320,218,248,236,169,247,351,225,189,218,238,242,190,352,292
32,0.05884,0.05866,0.13231,0.13189,1.61,241,272,209,227,318,316,217,246,235,172,245,350,224,189,215,241,245,192,349,295
33,0.05994,0.05964,0.13223,0.13182,1.65,244,271,209,228,316,313,215,245,234,175,243,348,224,189,213,243,247,193,347,298
