epoch,train_r2,validation_r2,train_rmse,validation_rmse,time,band_1,band_2,band_3,band_4,band_5
0,0,0,0.29933,0.29992,0.41,215,241,274,282,246
1,0,0,0.29499,0.29557,0.43,205,248,279,277,254
2,0,0,0.2906,0.29118,0.44,202,248,282,276,255
3,0,0,0.2858,0.28637,0.45,203,246,280,277,252
4,0,0,0.28114,0.2817,0.47,202,243,277,278,251
5,0,0,0.27653,0.27709,0.48,202,240,274,280,252
6,0,0,0.27216,0.27272,0.49,203,237,271,282,254
7,0,0,0.26783,0.26838,0.51,205,235,267,283,254
8,0,0,0.26339,0.26393,0.52,209,234,264,284,253
9,0,0,0.25887,0.25941,0.53,213,235,260,285,252
10,0,0,0.25414,0.25468,0.55,218,236,258,285,251
11,0,0,0.24934,0.24988,0.56,223,238,255,285,248
12,0,0,0.24486,0.24539,0.58,230,239,251,285,244
13,0,0,0.24066,0.24117,0.59,235,241,250,284,242
14,0,0,0.23657,0.23706,0.61,239,243,249,283,241
15,0,0,0.23233,0.23281,0.62,239,245,251,282,244
16,0,0,0.2283,0.22878,0.64,239,248,253,280,247
17,0,0,0.22471,0.22518,0.65,239,250,254,279,249
18,0,0,0.22092,0.22138,0.66,239,250,254,279,249
19,0,0,0.21689,0.21734,0.68,240,249,253,280,248
20,0,0,0.21309,0.21352,0.69,240,247,252,280,246
21,0,0,0.20953,0.20994,0.7,241,245,251,281,244
22,0,0,0.20605,0.20645,0.72,241,244,250,282,242
23,0,0,0.20259,0.20298,0.73,241,244,249,282,242
24,0,0,0.19916,0.19954,0.74,241,244,249,282,242
25,0,0,0.19577,0.19613,0.76,241,244,250,281,243
26,0,0,0.19243,0.19277,0.77,241,245,251,281,244
27,0,0,0.18917,0.1895,0.78,241,246,252,280,245
28,0,0,0.18609,0.18641,0.8,241,247,253,279,247
29,0,0,0.18316,0.18347,0.81,241,247,253,279,247
30,0,0,0.18023,0.18052,0.82,241,247,253,278,247
31,0,0,0.1773,0.17758,0.84,241,246,253,279,246
32,0,0,0.17451,0.17477,0.85,242,245,252,279,245
33,0,0,0.17188,0.17213,0.87,242,244,251,280,244
34,0,0,0.16935,0.16957,0.88,242,244,251,280,243
35,0,0,0.16688,0.16709,0.89,242,243,251,280,243
36,0,0,0.16448,0.16468,0.91,242,243,251,280,243
37,0,0,0.16217,0.16234,0.92,242,243,251,279,243
38,0,0,0.1599,0.16006,0.93,241,243,252,274,241
39,0,0,0.15776,0.15791,0.95,241,242,253,267,239
40,0,0,0.15578,0.15591,0.97,241,241,253,260,237
41,0,0,0.15393,0.15404,0.98,240,240,254,255,235
42,0,0,0.15215,0.15224,1.0,240,240,254,253,234
43,0,0,0.15042,0.15049,1.01,240,241,254,255,236
44,0,0,0.14877,0.14883,1.03,241,241,254,259,237
45,0,0,0.14722,0.14725,1.04,241,241,253,263,238
46,0,0,0.14576,0.14578,1.06,241,242,253,267,240
47,0,0,0.14442,0.14442,1.07,241,242,253,270,241
48,0,0,0.14317,0.14315,1.09,241,242,252,273,241
49,0,0,0.142,0.14197,1.1,241,242,252,274,242
50,0,0,0.14091,0.14086,1.11,241,242,252,275,241
51,0,0,0.1399,0.13982,1.13,241,241,252,274,241
52,0,0,0.13895,0.13886,1.14,241,241,252,273,241
53,0,0,0.13808,0.13798,1.15,241,241,252,272,241
54,0,0,0.13728,0.13716,1.17,241,241,252,271,241
55,0,0,0.13655,0.13641,1.18,241,241,252,270,241
56,0.00723,0.00298,0.13589,0.13574,1.19,241,241,253,269,241
57,0.01594,0.01194,0.13529,0.13513,1.2,241,241,253,268,241
58,0.02375,0.02001,0.13475,0.13457,1.22,241,241,253,266,241
59,0.03075,0.02725,0.13427,0.13407,1.23,241,241,253,265,240
60,0.03699,0.03371,0.13384,0.13363,1.24,241,241,253,264,240
61,0.04253,0.03946,0.13345,0.13323,1.26,241,241,253,263,239
62,0.04744,0.04457,0.13311,0.13288,1.27,241,240,253,263,239
63,0.05176,0.04908,0.13281,0.13256,1.29,241,240,253,263,239
64,0.05552,0.05303,0.13254,0.13229,1.3,241,240,253,264,240
65,0.05877,0.05645,0.13232,0.13205,1.32,241,241,253,265,240
66,0.06154,0.05937,0.13212,0.13184,1.33,241,241,253,266,240
67,0.06387,0.06185,0.13196,0.13167,1.34,241,241,253,267,241
68,0.06582,0.06395,0.13182,0.13152,1.36,241,241,253,268,241
69,0.06744,0.06571,0.1317,0.1314,1.37,241,240,252,268,240
70,0.06877,0.06716,0.13161,0.1313,1.38,241,240,252,267,240
71,0.06984,0.06834,0.13154,0.13121,1.4,241,240,252,267,240
72,0.07069,0.0693,0.13147,0.13115,1.41,241,240,252,267,240
73,0.07138,0.07008,0.13143,0.13109,1.42,241,240,252,267,240
74,0.07192,0.0707,0.13139,0.13105,1.43,241,240,252,267,240
75,0.07234,0.0712,0.13136,0.13101,1.45,241,240,252,267,240
76,0.07266,0.07159,0.13134,0.13098,1.46,241,240,252,267,240
77,0.07291,0.0719,0.13132,0.13096,1.47,241,240,252,267,240
78,0.0731,0.07215,0.1313,0.13094,1.49,240,240,252,266,240
79,0.07325,0.07235,0.13129,0.13093,1.5,240,240,252,266,240
80,0.07337,0.07251,0.13129,0.13092,1.51,240,240,252,265,240
81,0.07346,0.07264,0.13128,0.13091,1.53,240,240,252,264,240
82,0.07354,0.07276,0.13127,0.1309,1.54,240,240,252,264,239
83,0.07362,0.07287,0.13127,0.13089,1.55,240,240,252,263,239
84,0.0737,0.07298,0.13126,0.13089,1.57,240,240,252,262,239
85,0.07379,0.07309,0.13126,0.13088,1.58,240,239,252,261,239
86,0.07389,0.07322,0.13125,0.13087,1.6,240,239,252,260,239
87,0.07402,0.07335,0.13124,0.13086,1.61,240,239,252,259,239
88,0.07416,0.07352,0.13123,0.13085,1.62,239,239,252,257,238
89,0.07437,0.07372,0.13121,0.13083,1.64,239,239,252,255,238
90,0.07452,0.07386,0.1312,0.13082,1.65,239,238,252,252,237
91,0.0745,0.07385,0.1312,0.13082,1.66,238,238,252,250,237
92,0.07457,0.07392,0.1312,0.13082,1.68,238,238,252,249,237
93,0.07472,0.07409,0.13119,0.13081,1.69,238,238,252,250,237
