epoch,train_r2,validation_r2,train_rmse,validation_rmse,time,band_1,band_2,band_3,band_4,band_5
0,0,0,0.22223,0.24777,0.38,250,233,282,272,249
1,0,0,0.21817,0.24399,0.4,255,238,289,268,252
2,0,0,0.21423,0.24034,0.42,259,238,297,264,250
3,0,0,0.21027,0.23673,0.43,260,236,300,262,247
4,0,0,0.20613,0.23299,0.44,259,231,302,258,244
5,0,0,0.20258,0.22948,0.46,256,224,302,251,242
6,0,0,0.19859,0.22602,0.47,248,221,299,255,237
7,0,0,0.19504,0.22284,0.48,249,220,294,257,238
8,0,0,0.19153,0.21961,0.49,250,218,293,256,237
9,0,0,0.1882,0.2164,0.51,250,216,295,254,236
10,0,0,0.18482,0.21345,0.52,252,217,296,256,235
11,0,0,0.18168,0.21057,0.53,254,218,299,256,233
12,0,0,0.17864,0.2077,0.54,255,217,302,255,233
13,0,0,0.17575,0.20499,0.56,255,216,302,254,232
14,0,0,0.17292,0.2025,0.58,254,215,300,256,230
15,0,0,0.17025,0.20004,0.59,252,213,298,256,230
16,0,0,0.16775,0.19764,0.6,251,211,297,254,229
17,0,0,0.16536,0.19544,0.61,251,210,297,254,228
18,0,0,0.16311,0.1934,0.63,252,210,297,255,228
19,0,0,0.16099,0.19139,0.64,253,210,298,255,227
20,0,0,0.15905,0.18947,0.65,253,209,300,254,226
21,0,0,0.15727,0.18776,0.66,254,209,300,254,226
22,0,0,0.15562,0.18622,0.68,254,209,300,254,226
23,0,0,0.15409,0.18475,0.69,254,209,299,255,226
24,0,0,0.15269,0.18334,0.7,253,207,297,254,226
25,0,0,0.15146,0.18211,0.71,251,207,296,254,227
26,0,0,0.15036,0.18104,0.72,251,206,294,254,227
27,0,0,0.1494,0.18006,0.74,251,206,294,254,228
28,0,0,0.14854,0.1791,0.75,250,205,293,254,228
29,0,0,0.14779,0.17826,0.76,251,205,294,253,228
30,0,0,0.14714,0.17755,0.77,251,205,294,254,227
31,0,0,0.14661,0.17694,0.79,252,205,295,254,227
32,0,0,0.14616,0.17636,0.8,252,205,295,254,227
33,0,0,0.1458,0.17585,0.81,252,204,295,253,227
34,0,0,0.1456,0.17566,0.82,250,202,292,255,225
35,0,0,0.1454,0.17514,0.84,252,201,295,250,227
36,0,0,0.14529,0.17489,0.85,251,200,295,249,227
37,0,0,0.14513,0.17462,0.86,252,201,295,249,227
38,0,0,0.14497,0.17434,0.87,252,202,295,251,227
39,0,0,0.14507,0.17445,0.89,255,205,293,255,227
40,0,0,0.14481,0.17399,0.9,251,202,293,252,228
41,0,0,0.14481,0.17388,0.91,250,202,292,252,229
42,0,0,0.1448,0.1738,0.92,250,202,291,252,229
43,0,0,0.14481,0.17377,0.93,249,203,290,253,230
44,0,0,0.14485,0.17375,0.95,249,203,290,254,230
45,0,0,0.14484,0.17362,0.96,249,202,289,253,230
46,0,0,0.14485,0.17352,0.97,249,202,290,252,230
47,0,0,0.14486,0.17346,0.98,249,202,290,252,230
48,0,0,0.14485,0.1734,0.99,250,202,291,252,229
49,0,0,0.14484,0.17338,1.01,251,203,292,253,229
50,0,0,0.14483,0.17335,1.02,252,204,292,253,229
51,0,0,0.14481,0.17326,1.04,252,203,293,253,228
52,0,0,0.14479,0.17318,1.05,252,203,293,252,228
53,0,0,0.14476,0.17313,1.06,252,203,293,252,228
54,0,0,0.14471,0.17308,1.07,251,203,293,252,229
55,0,0,0.14466,0.17304,1.09,251,203,292,252,229
56,0,0,0.14463,0.1731,1.1,251,204,291,254,229
57,0,0,0.14455,0.17294,1.11,251,203,291,252,229
58,0,0,0.1445,0.17289,1.12,250,203,291,252,229
59,0,0,0.14444,0.17284,1.14,250,203,291,252,229
60,0,0,0.14437,0.17282,1.15,251,204,291,253,229
61,0,0,0.14431,0.17281,1.16,251,204,291,253,229
62,0,0,0.1443,0.17274,1.17,248,209,292,252,234
63,0,0,0.14419,0.17274,1.19,251,205,292,254,229
64,0,0,0.14411,0.17264,1.2,252,205,292,253,229
65,0,0,0.14407,0.17256,1.21,251,205,293,252,230
66,0,0,0.14401,0.17252,1.22,252,204,293,252,228
67,0,0,0.14394,0.17249,1.24,252,204,292,253,228
68,0,0,0.14388,0.17247,1.25,252,205,292,253,229
69,0,0,0.14383,0.17246,1.26,251,205,291,253,229
70,0,0,0.14378,0.17242,1.27,251,205,291,253,229
71,0,0,0.14373,0.17237,1.29,250,204,290,253,229
72,0,0,0.14369,0.17234,1.3,250,204,290,253,229
73,0,0,0.14364,0.17231,1.31,250,204,290,253,229
74,0,0,0.1436,0.17229,1.32,251,205,290,253,229
75,0,0,0.14355,0.17224,1.34,251,205,290,253,229
76,0,0,0.14351,0.17219,1.35,251,205,291,253,229
77,0,0,0.14347,0.17214,1.36,252,205,291,253,228
78,0,0,0.14343,0.1721,1.37,252,205,291,253,228
79,0,0,0.14339,0.17207,1.39,252,205,291,253,228
80,0,0,0.14335,0.17203,1.4,252,205,291,253,228
81,0,0,0.14331,0.17199,1.41,252,205,291,253,228
82,0,0,0.14327,0.17194,1.43,251,205,290,253,229
83,0,0,0.14324,0.1719,1.44,251,205,290,253,229
84,0,0,0.1432,0.17186,1.45,251,205,290,253,229
85,0,0,0.14316,0.17181,1.46,251,205,290,253,229
86,0,0,0.14312,0.17175,1.48,251,205,290,253,229
87,0,0,0.14308,0.1717,1.49,251,205,290,253,229
88,0,0,0.14304,0.17164,1.5,251,205,290,253,229
89,0,0,0.143,0.17159,1.51,252,205,290,253,228
90,0,0,0.14296,0.17153,1.52,252,205,291,253,228
91,0,0,0.14292,0.17146,1.54,252,204,291,253,228
92,0,0,0.14288,0.1714,1.55,252,204,290,253,229
93,0,0,0.14284,0.17135,1.56,251,204,290,253,229
94,0,0,0.1428,0.17129,1.57,251,204,290,253,229
95,0,0,0.14275,0.17123,1.58,251,204,290,253,229
96,0,0,0.14271,0.17116,1.6,251,204,290,253,229
97,0,0,0.14267,0.1711,1.61,251,204,290,253,229
98,0,0,0.14263,0.17103,1.62,251,204,290,253,229
99,0,0,0.14259,0.17097,1.63,251,204,290,253,229
100,0,0,0.14255,0.1709,1.65,252,204,290,253,229
101,0,0,0.1425,0.17083,1.66,252,204,290,253,229
102,0,0,0.14246,0.17076,1.67,252,204,290,253,229
