epoch,train_r2,validation_r2,train_rmse,validation_rmse,time,band_1,band_2
0,0,0,0.14229,0.14187,2.7,2330,2018
1,0,0,0.14257,0.14214,2.72,2647,1698
2,0,0,0.14296,0.14252,2.73,2569,1357
3,0,0,0.1419,0.14154,2.75,2520,1575
4,0,0,0.14148,0.14114,2.77,2322,1778
5,0,0,0.14108,0.14077,2.79,2310,1831
6,0,0,0.14068,0.14041,2.8,2295,1904
7,0,0,0.1406,0.14033,2.82,2260,2086
8,0,0,0.13993,0.1397,2.83,2279,1986
9,0,0,0.1401,0.13985,2.85,2186,2156
10,0,0,0.13999,0.13978,2.86,2029,2441
11,0,0,0.13949,0.13926,2.88,2150,2232
12,0,0,0.13927,0.13903,2.89,2203,2142
13,0,0,0.13896,0.13873,2.91,2238,2181
14,0,0,0.13852,0.13829,2.92,2251,2400
15,0,0,0.13828,0.13807,2.94,2259,2691
16,0,0,0.13784,0.13763,2.96,2270,2994
17,0,0,0.13768,0.13744,2.97,2362,2756
18,0,0,0.13746,0.1372,2.99,2421,2571
19,0,0,0.13718,0.1369,3.0,2413,2500
20,0,0,0.13697,0.13668,3.02,2399,2430
21,0,0,0.13679,0.1365,3.03,2387,2367
22,0,0,0.1366,0.13629,3.05,2377,2318
23,0,0,0.1364,0.13608,3.06,2372,2296
24,0.00279,0.00108,0.13619,0.13587,3.08,2367,2275
25,0.00599,0.00442,0.13597,0.13564,3.09,2368,2287
26,0.00934,0.00792,0.13575,0.1354,3.11,2374,2323
27,0.01271,0.01147,0.13551,0.13516,3.12,2383,2375
28,0.0162,0.01509,0.13527,0.13491,3.14,2393,2435
29,0.0193,0.0183,0.13506,0.13469,3.15,2404,2498
30,0.02187,0.02095,0.13488,0.13451,3.17,2412,2550
31,0.02459,0.02375,0.1347,0.13432,3.18,2415,2584
32,0.02726,0.02648,0.13451,0.13413,3.2,2417,2611
33,0.03031,0.02951,0.1343,0.13392,3.22,2308,2629
34,0.03259,0.03196,0.13414,0.13375,3.23,2415,2625
35,0.03517,0.03464,0.13396,0.13356,3.25,2416,2632
36,0.03786,0.03744,0.13378,0.13337,3.26,2413,2617
37,0.04048,0.04019,0.13359,0.13318,3.28,2407,2597
38,0.04296,0.04279,0.13342,0.133,3.29,2403,2590
39,0.04541,0.04535,0.13325,0.13282,3.3,2398,2575
40,0.04783,0.04788,0.13308,0.13265,3.32,2389,2563
41,0.05095,0.05082,0.13286,0.13244,3.34,2162,2657
42,0.05302,0.05299,0.13272,0.13229,3.35,2119,2660
43,0.05548,0.05577,0.13255,0.13209,3.37,2212,2608
44,0.05722,0.05774,0.13242,0.13196,3.38,2300,2560
45,0.05935,0.06004,0.13227,0.1318,3.39,2309,2549
46,0.06143,0.06227,0.13213,0.13164,3.41,2329,2532
47,0.06321,0.06421,0.132,0.1315,3.42,2366,2507
48,0.06531,0.06644,0.13185,0.13135,3.44,2350,2509
49,0.06801,0.06913,0.13166,0.13116,3.46,2222,2573
50,0.05943,0.06069,0.13227,0.13175,3.47,2010,2699
51,0.06826,0.06923,0.13165,0.13115,3.48,1611,2885
52,0.05669,0.05384,0.13246,0.13223,3.5,1239,3068
53,0.06971,0.06737,0.13154,0.13128,3.52,894,3269
54,0.08338,0.08074,0.13057,0.13034,3.53,593,3440
55,0.07022,0.06575,0.13151,0.13139,3.55,433,3576
56,0.07329,0.06895,0.13129,0.13117,3.56,410,3603
57,0.08753,0.08389,0.13028,0.13011,3.58,448,3587
58,0.10596,0.10355,0.12896,0.12871,3.59,537,3536
59,0.11138,0.11148,0.12856,0.12814,3.61,687,3433
60,0.10519,0.10518,0.12901,0.12859,3.62,791,3372
61,0.10262,0.10256,0.1292,0.12878,3.64,830,3326
62,0.10842,0.10874,0.12878,0.12834,3.65,779,3332
63,0.11921,0.11987,0.128,0.12753,3.67,667,3376
64,0.12505,0.12437,0.12757,0.12721,3.68,513,3428
65,0.12607,0.12506,0.1275,0.12716,3.7,467,3454
66,0.12544,0.12397,0.12754,0.12723,3.71,414,3468
67,0.12475,0.12291,0.12759,0.12731,3.73,381,3490
68,0.12655,0.12426,0.12746,0.12721,3.74,374,3523
69,0.13195,0.13091,0.12707,0.12673,3.76,404,3487
70,0.13582,0.13556,0.12678,0.12639,3.77,449,3487
71,0.13763,0.13768,0.12665,0.12624,3.79,491,3518
72,0.13717,0.13776,0.12668,0.12623,3.8,531,3526
73,0.1372,0.13807,0.12668,0.12621,3.82,551,3526
