algorithm,dataset,rows,columns,time,target_size,final_size,r2_original,r2_train,r2_test,rmse_original,rmse_train,rmse_test,selected_features
fsdr,original,21782,4200,26.39,2,2,0.85,0.59,0.54,0.06,0.09,0.1,349;3457
fsdr,original,21782,4200,31.3,5,5,0.85,0.61,0.57,0.06,0.09,0.09,209;350;356;366;3808
fsdr,original,21782,4200,44.07,10,10,0.85,0.83,0.82,0.06,0.06,0.06,194;417;418;1093;1098;2023;3824;4090;4135;4137
fsdr,original,21782,4200,56.22,15,15,0.85,0.85,0.84,0.06,0.05,0.06,88;382;387;389;390;990;998;2020;3014;3622;3817;3818;4163;4168;4169
fsdr,original,21782,4200,68.42,20,20,0.85,0.82,0.81,0.06,0.06,0.06,91;95;181;386;387;388;392;400;1027;1072;3824;4065;4068;4152;4161;4163;4168;4170;4174;4179
fsdr,downscaled_525,21782,525,13.24,2,2,0.87,0.6,0.54,0.05,0.09,0.1,52;301
fsdr,downscaled_525,21782,525,20.7,5,3,0.87,0.46,0.49,0.05,0.1,0.1,237;252;267
fsdr,downscaled_525,21782,525,35.31,10,8,0.87,0.78,0.76,0.05,0.06,0.07,45;46;130;132;138;250;273;379
fsdr,downscaled_525,21782,525,47.41,15,8,0.87,0.8,0.78,0.05,0.06,0.07,47;136;178;252;268;332;375;382
fsdr,downscaled_525,21782,525,61.12,20,9,0.87,0.81,0.8,0.05,0.06,0.06,11;36;45;46;120;249;250;266;333
fsdr,downscaled_66,21782,66,13.23,2,1,0.85,0.16,0.14,0.05,0.13,0.13,33
fsdr,downscaled_66,21782,66,19.49,5,3,0.85,0.59,0.53,0.05,0.09,0.1,6;42;46
fsdr,downscaled_66,21782,66,32.74,10,5,0.85,0.79,0.76,0.05,0.06,0.07,6;18;31;33;42
fsdr,downscaled_66,21782,66,45.75,15,5,0.85,0.8,0.77,0.05,0.06,0.07,5;31;33;34;42
fsdr,downscaled_66,21782,66,59.16,20,8,0.85,0.78,0.76,0.05,0.06,0.07,5;6;16;17;31;33;42;45
fsdr,truncated_4200,871,4200,14.73,2,2,0.48,0.23,0.37,0.12,0.14,0.13,4180;4187
fsdr,truncated_4200,871,4200,21.1,5,5,0.48,0.7,0.66,0.12,0.09,0.1,2484;3434;4161;4177;4184
fsdr,truncated_4200,871,4200,37.14,10,8,0.48,0.78,0.8,0.12,0.07,0.08,364;382;386;396;1058;4052;4080;4178
fsdr,truncated_4200,871,4200,46.76,15,15,0.48,0.84,0.88,0.12,0.06,0.06,3;77;335;361;368;384;394;422;928;1093;3841;4068;4169;4173;4179
fsdr,truncated_4200,871,4200,59.85,20,18,0.48,0.84,0.87,0.12,0.06,0.06,360;382;391;397;399;840;955;996;2009;3457;3826;3827;4026;4030;4035;4162;4164;4179
fsdr,truncated_525,871,525,12.17,2,2,0.84,0.53,0.7,0.07,0.1,0.09,53;262
fsdr,truncated_525,871,525,20.03,5,5,0.84,0.82,0.8,0.07,0.06,0.07,54;145;252;269;271
fsdr,truncated_525,871,525,31.05,10,3,0.84,0.47,0.51,0.07,0.1,0.12,237;251;263
fsdr,truncated_525,871,525,49.42,15,5,0.84,0.62,0.51,0.07,0.09,0.12,243;250;251;263;308
fsdr,truncated_525,871,525,63.28,20,16,0.84,0.81,0.74,0.07,0.06,0.08,55;56;57;131;132;175;177;178;180;181;210;253;267;292;356;377
