epoch,train_r2,validation_r2,train_rmse,validation_rmse,time,band_1,band_2,band_3,band_4,band_5,band_6,band_7,band_8,band_9,band_10,band_11,band_12,band_13,band_14,band_15
0,0,0,0.31204,0.35038,2.17,2840,2484,773,2897,1476,3903,2333,2284,2763,3017,1683,2192,1288,734,3618
1,0,0,0.30521,0.34398,2.2,3532,2821,222,3519,790,3777,1266,3365,2195,1861,337,2908,749,388,3656
2,0,0,0.29798,0.33762,2.23,3847,3011,75,3792,514,3936,848,3677,1997,1452,121,3268,395,180,3855
3,0,0,0.28845,0.32841,2.25,3960,3356,44,3896,357,4054,862,3720,1400,969,58,3311,166,89,3956
4,0,0,0.28142,0.32241,2.28,3968,3527,37,3957,261,4125,861,3804,908,487,31,3052,86,58,4034
5,0,0,0.27639,0.3179,2.31,3989,3601,30,4003,214,4158,737,3903,655,278,19,2912,58,44,4082
6,0,0,0.27178,0.31371,2.34,3999,3644,26,4032,186,4175,630,3974,488,168,12,2767,43,37,4110
7,0,0,0.26736,0.30999,2.37,3991,3665,25,4052,167,4184,552,4024,370,102,9,2537,34,33,4130
8,0,0,0.26303,0.30617,2.4,3986,3708,25,4062,153,4189,522,4049,275,68,6,2346,26,30,4140
9,0,0,0.25878,0.30253,2.43,3968,3750,26,4067,141,4192,510,4067,204,45,5,2084,21,28,4147
10,0,0,0.25534,0.29957,2.45,3936,3796,29,4068,131,4194,528,4078,150,31,4,1774,16,26,4153
11,0,0,0.25198,0.29683,2.48,3901,3828,32,4069,123,4195,537,4088,116,22,3,1504,14,25,4157
12,0,0,0.24877,0.29413,2.51,3873,3857,35,4068,117,4196,549,4096,92,17,3,1314,12,24,4159
13,0,0,0.24568,0.29147,2.54,3825,3870,39,4066,112,4197,560,4104,77,13,2,1106,10,24,4162
14,0,0,0.2424,0.28831,2.56,3767,3883,45,4063,106,4197,575,4110,64,10,2,916,9,24,4164
15,0,0,0.23907,0.28512,2.59,3699,3901,51,4060,100,4198,617,4113,55,8,2,754,8,24,4166
16,0,0,0.23583,0.28226,2.62,3650,3928,54,4057,92,4198,702,4111,47,7,2,655,7,22,4166
17,0,0,0.23226,0.27882,2.65,3572,3952,60,4052,84,4198,822,4106,40,6,2,548,6,20,4166
18,0,0,0.22786,0.27448,2.68,3449,3980,71,4044,75,4198,1028,4095,34,5,1,432,5,18,4166
19,0,0,0.22341,0.27035,2.7,3286,3999,83,4040,66,4198,1265,4087,29,4,1,333,4,17,4167
20,0,0,0.2194,0.26668,2.73,3100,4008,91,4048,57,4198,1447,4088,28,4,1,259,4,15,4170
21,0,0,0.2154,0.26291,2.76,2969,4015,97,4052,51,4198,1556,4089,26,3,1,218,3,14,4172
22,0,0,0.21158,0.25949,2.79,2755,4022,107,4055,44,4199,1705,4088,25,3,1,175,3,13,4174
23,0,0,0.20789,0.2561,2.81,2493,4029,121,4059,39,4199,1897,4087,24,3,1,139,3,12,4176
24,0,0,0.20395,0.25258,2.84,2267,4036,134,4061,34,4199,2040,4085,23,3,1,115,3,11,4178
25,0,0,0.20109,0.24974,2.87,1987,4042,152,4062,30,4199,2239,4082,23,2,1,93,2,10,4180
26,0,0,0.19816,0.24696,2.9,1780,4046,167,4062,27,4199,2384,4079,22,2,1,79,2,9,4181
27,0,0,0.19517,0.24411,2.92,1664,4051,175,4061,25,4199,2456,4077,21,2,1,72,2,9,4182
28,0,0,0.19221,0.24128,2.95,1583,4057,180,4060,23,4199,2513,4075,21,2,1,66,2,8,4182
29,0,0,0.18929,0.23844,2.98,1510,4062,182,4058,22,4199,2565,4074,20,2,1,62,2,8,4183
30,0,0,0.1864,0.23566,3.01,1489,4067,179,4055,21,4199,2581,4072,20,2,1,60,2,7,4183
31,0,0,0.18359,0.23294,3.03,1485,4073,175,4051,20,4199,2589,4071,20,2,1,59,2,7,4184
32,0,0,0.18086,0.23032,3.06,1503,4078,168,4048,19,4199,2585,4070,19,2,1,58,2,7,4184
33,0,0,0.17827,0.22785,3.09,1532,4083,161,4043,19,4199,2573,4069,19,2,1,59,2,6,4184
34,0,0,0.17581,0.22552,3.12,1564,4088,154,4039,18,4199,2560,4067,19,2,1,59,2,6,4184
35,0,0,0.17352,0.22332,3.14,1597,4092,148,4035,18,4199,2546,4065,18,2,1,60,2,6,4184
36,0,0,0.17142,0.22127,3.17,1646,4096,142,4030,18,4199,2522,4063,18,2,1,62,2,6,4184
37,0,0,0.16956,0.21935,3.2,1707,4100,135,4025,18,4199,2494,4061,18,2,1,64,1,6,4184
38,0,0,0.16797,0.2176,3.23,1769,4104,130,4019,17,4199,2467,4059,18,2,1,66,1,6,4184
39,0,0,0.16669,0.21606,3.26,1844,4107,125,4013,17,4199,2433,4056,18,2,1,69,1,5,4184
40,0,0,0.16577,0.21485,3.28,1935,4110,120,4006,18,4199,2386,4054,18,2,1,73,1,5,4184
41,0,0,0.16509,0.21372,3.31,2032,4112,115,3999,18,4199,2338,4052,17,2,1,78,1,5,4183
42,0,0,0.16491,0.21318,3.34,2094,4115,111,3992,18,4199,2311,4049,17,2,1,82,1,5,4183
43,0,0,0.16493,0.21271,3.37,2126,4117,110,3986,18,4199,2299,4046,17,2,1,84,1,5,4183
44,0,0,0.16512,0.21241,3.4,2155,4119,108,3980,18,4199,2290,4043,17,2,1,87,1,5,4183
45,0,0,0.16538,0.21224,3.42,2181,4120,107,3975,18,4199,2283,4040,17,2,1,89,1,5,4182
46,0,0,0.16565,0.21213,3.45,2208,4122,105,3970,18,4199,2276,4038,17,2,1,92,1,5,4182
47,0,0,0.16585,0.21204,3.48,2239,4124,104,3967,18,4199,2267,4036,17,2,1,94,1,5,4182
48,0,0,0.16595,0.21194,3.51,2269,4125,103,3964,18,4199,2258,4034,17,2,1,97,1,5,4182
49,0,0,0.16593,0.21181,3.53,2292,4127,101,3962,18,4199,2254,4032,17,2,1,99,1,5,4182
50,0,0,0.16578,0.21163,3.56,2315,4128,100,3962,18,4199,2251,4031,17,2,1,101,1,5,4182
51,0,0,0.16553,0.21142,3.59,2340,4130,99,3963,18,4199,2246,4030,17,2,1,103,1,5,4182
52,0,0,0.16518,0.21118,3.62,2367,4131,97,3964,18,4199,2240,4029,17,2,1,105,1,5,4182
53,0,0,0.16479,0.21094,3.64,2398,4132,96,3966,18,4199,2231,4028,17,2,1,108,1,5,4182
54,0,0,0.16436,0.21071,3.67,2437,4133,94,3967,18,4199,2218,4027,17,2,1,111,1,5,4182
55,0,0,0.16393,0.2105,3.7,2476,4134,92,3970,18,4199,2205,4027,17,2,1,114,1,5,4182
56,0,0,0.16351,0.21032,3.73,2502,4135,91,3972,18,4199,2202,4026,17,2,1,116,1,5,4182
57,0,0,0.16313,0.21016,3.76,2515,4136,91,3974,18,4199,2204,4024,17,2,1,117,1,5,4182
58,0,0,0.16279,0.21002,3.78,2509,4137,91,3977,18,4199,2220,4022,17,2,1,118,1,6,4182
59,0,0,0.16249,0.20989,3.81,2486,4138,92,3980,17,4199,2252,4019,17,2,1,117,1,6,4182
60,0,0,0.16224,0.2098,3.84,2452,4139,93,3983,17,4199,2290,4016,17,2,1,115,1,6,4183
61,0,0,0.16202,0.20973,3.87,2419,4139,95,3985,17,4199,2327,4012,17,2,1,113,1,6,4183
62,0,0,0.16185,0.20969,3.91,2393,4140,96,3987,17,4199,2362,4008,17,2,1,113,1,6,4183
63,0,0,0.16169,0.20965,3.94,2359,4140,98,3988,17,4199,2403,4003,17,2,1,111,1,6,4183
64,0,0,0.16156,0.20961,3.97,2322,4141,101,3989,16,4199,2447,3998,17,2,1,110,1,6,4183
65,0,0,0.16143,0.20956,4.0,2303,4141,102,3990,16,4199,2475,3994,17,2,1,109,1,6,4183
66,0,0,0.16129,0.20948,4.03,2289,4142,104,3990,16,4199,2499,3989,17,2,1,110,1,6,4183
67,0,0,0.16114,0.20938,4.05,2263,4142,106,3990,16,4199,2530,3984,17,2,1,109,1,6,4183
68,0,0,0.16099,0.20925,4.08,2228,4142,109,3990,16,4199,2569,3979,17,2,1,108,1,6,4182
69,0,0,0.16083,0.20911,4.11,2203,4143,112,3990,16,4199,2599,3973,17,2,1,108,1,6,4182
70,0,0,0.16065,0.20893,4.14,2186,4143,114,3989,16,4199,2623,3969,17,2,1,109,2,6,4182
71,0,0,0.16047,0.20873,4.17,2177,4143,116,3988,16,4199,2641,3964,17,2,1,110,2,6,4182
72,0,0,0.16028,0.20851,4.2,2167,4144,118,3987,16,4199,2660,3960,18,2,1,111,2,7,4181
73,0,0,0.16008,0.20829,4.22,2169,4144,119,3985,16,4199,2668,3957,18,2,1,113,2,7,4181
74,0,0,0.15988,0.20805,4.25,2183,4144,120,3983,17,4199,2666,3956,18,2,1,116,2,7,4181
75,0,0,0.15966,0.20779,4.28,2202,4144,121,3980,17,4199,2659,3954,18,2,1,120,2,7,4180
76,0,0,0.15945,0.20753,4.32,2233,4145,121,3977,17,4199,2642,3953,18,2,1,125,2,7,4180
77,0,0,0.15924,0.20728,4.34,2271,4145,120,3974,18,4199,2622,3953,18,2,1,130,2,7,4179
78,0,0,0.15904,0.20703,4.37,2307,4145,120,3971,18,4199,2604,3953,18,2,1,136,2,7,4179
79,0,0,0.15885,0.20677,4.4,2314,4145,121,3968,18,4199,2609,3952,19,2,1,139,2,7,4178
80,0,0,0.15866,0.20652,4.43,2316,4146,123,3967,18,4199,2617,3952,19,2,1,141,2,7,4178
81,0,0,0.15847,0.20627,4.46,2316,4146,124,3965,18,4199,2628,3952,19,2,1,143,2,7,4177
82,0,0,0.15828,0.20603,4.49,2316,4146,125,3964,18,4199,2638,3953,19,2,1,145,2,7,4177
83,0,0,0.1581,0.2058,4.52,2314,4147,126,3964,18,4199,2648,3954,19,2,1,147,2,8,4176
84,0,0,0.15792,0.20558,4.54,2316,4147,128,3964,18,4199,2656,3956,19,2,1,149,2,8,4176
85,0,0,0.15774,0.20536,4.57,2322,4148,128,3964,18,4199,2659,3958,19,2,1,151,2,8,4175
86,0,0,0.15755,0.20516,4.61,2347,4148,128,3965,18,4199,2649,3961,19,2,1,155,2,8,4175
87,0,0,0.15736,0.20497,4.64,2376,4149,128,3965,19,4199,2636,3964,19,2,1,160,2,8,4174
88,0,0,0.15716,0.20478,4.66,2409,4149,127,3965,19,4199,2620,3967,19,2,1,166,2,8,4174
89,0,0,0.15697,0.20459,4.69,2435,4149,127,3965,19,4199,2609,3970,19,2,1,172,2,8,4173
90,0,0,0.15677,0.20441,4.72,2473,4150,127,3965,19,4199,2590,3973,19,2,1,180,2,8,4172
91,0,0,0.15656,0.20424,4.75,2520,4150,126,3964,20,4199,2564,3976,19,2,1,189,2,8,4171
92,0,0,0.15634,0.20407,4.78,2552,4150,126,3964,20,4199,2552,3978,19,2,1,198,2,9,4170
93,0,0,0.15612,0.2039,4.81,2592,4150,125,3964,20,4199,2530,3980,19,2,1,208,2,9,4170
94,0,0,0.1559,0.20373,4.83,2626,4151,125,3965,20,4199,2516,3981,19,2,1,219,2,9,4168
95,0,0,0.15566,0.20354,4.86,2670,4151,124,3965,21,4199,2492,3982,19,2,1,233,2,9,4167
96,0,0,0.1554,0.20332,4.89,2734,4151,122,3964,22,4199,2451,3984,19,2,1,253,2,10,4166
97,0,0,0.15508,0.20307,4.92,2822,4151,119,3962,22,4199,2388,3986,20,2,1,281,2,10,4164
98,0,0,0.15469,0.20278,4.94,2931,4151,115,3960,24,4199,2301,3988,20,3,1,320,2,10,4162
99,0,0,0.1544,0.2029,4.97,3058,4150,110,3957,25,4199,2191,3991,20,3,1,376,2,11,4159
100,0,0,0.15422,0.20281,5.0,3169,4150,105,3954,27,4199,2090,3994,20,3,1,437,2,11,4156
101,0,0,0.15421,0.20294,5.03,3231,4150,103,3952,28,4199,2038,3995,21,3,1,482,2,12,4153
102,0,0,0.15397,0.20267,5.05,3227,4150,105,3954,28,4199,2056,3993,21,3,1,489,2,12,4151
103,0,0,0.15356,0.20208,5.08,3137,4151,112,3960,27,4199,2171,3987,21,3,1,447,2,12,4150
104,0,0,0.15328,0.20156,5.11,3021,4151,121,3966,25,4199,2305,3980,21,3,1,398,2,11,4150
105,0,0,0.15309,0.201,5.14,2889,4152,131,3972,24,4199,2435,3973,21,3,1,355,2,11,4149
106,0,0,0.15302,0.20076,5.16,2784,4152,140,3977,23,4199,2534,3967,21,3,1,328,2,11,4147
107,0,0,0.15288,0.20051,5.19,2718,4152,147,3980,23,4199,2600,3962,21,3,1,318,2,11,4145
108,0,0,0.15265,0.20023,5.22,2703,4152,151,3981,23,4199,2626,3959,21,3,1,323,2,11,4142
109,0,0,0.15232,0.19994,5.25,2742,4152,152,3980,24,4199,2611,3959,22,3,1,345,2,11,4138
110,0.00417,0,0.15197,0.19969,5.28,2820,4151,150,3977,25,4199,2566,3961,22,3,1,382,2,12,4132
111,0.00767,0,0.1517,0.19955,5.31,2909,4151,147,3974,26,4199,2508,3965,22,3,1,427,2,12,4126
112,0.00887,0,0.15161,0.19967,5.33,2990,4151,145,3971,27,4199,2453,3968,23,3,1,474,3,13,4119
113,0.01253,0,0.15133,0.19931,5.36,2952,4151,150,3971,27,4199,2485,3966,23,3,1,473,3,13,4113
114,0.01553,0,0.1511,0.19901,5.39,2909,4151,156,3971,27,4199,2521,3965,23,3,1,467,3,13,4108
115,0.01876,0.0027,0.15085,0.19867,5.42,2857,4151,164,3972,27,4199,2565,3964,24,3,1,453,3,13,4102
116,0.02223,0.00656,0.15058,0.19829,5.44,2792,4151,173,3974,26,4199,2621,3962,24,3,1,433,3,13,4097
117,0.02535,0.01006,0.15034,0.19794,5.47,2717,4151,183,3976,26,4199,2684,3960,24,3,1,409,3,13,4092
118,0.02812,0.01303,0.15013,0.19764,5.5,2647,4151,195,3977,25,4199,2741,3958,24,3,1,390,3,13,4085
119,0.03123,0.01625,0.14989,0.19732,5.53,2598,4151,207,3977,25,4199,2780,3958,24,3,1,379,3,13,4079
120,0.03453,0.01914,0.14963,0.19703,5.55,2562,4151,219,3977,25,4198,2805,3957,25,3,1,375,3,13,4071
121,0.03822,0.02177,0.14934,0.19676,5.59,2560,4151,230,3975,26,4198,2806,3958,25,3,2,383,3,13,4062
122,0.04195,0.02416,0.14906,0.19652,5.61,2567,4150,241,3973,26,4198,2797,3959,26,3,2,397,3,14,4051
123,0.04553,0.02647,0.14878,0.19629,5.64,2566,4150,255,3971,27,4198,2794,3961,26,3,2,408,3,14,4041
124,0.04919,0.02876,0.14849,0.19606,5.67,2559,4149,270,3969,27,4198,2794,3962,27,3,2,416,3,14,4032
125,0.05322,0.03152,0.14818,0.19578,5.7,2535,4149,290,3968,28,4198,2805,3962,27,3,2,419,3,15,4022
126,0.0577,0.03496,0.14782,0.19543,5.72,2491,4149,315,3967,28,4198,2827,3961,28,4,2,414,3,15,4011
127,0.06226,0.03858,0.14747,0.19506,5.75,2419,4148,347,3967,28,4198,2864,3960,28,4,2,401,3,15,4001
128,0.06626,0.04153,0.14715,0.19476,5.78,2365,4148,380,3967,28,4198,2892,3959,29,4,2,393,3,15,3990
129,0.06962,0.04408,0.14689,0.19451,5.81,2329,4147,414,3967,28,4198,2908,3959,29,4,2,389,3,16,3978
130,0.07253,0.04625,0.14666,0.19428,5.83,2325,4147,440,3967,28,4198,2906,3960,30,4,2,393,3,16,3964
131,0.07524,0.04824,0.14644,0.19408,5.86,2344,4147,459,3967,29,4198,2891,3963,30,4,2,404,3,16,3952
132,0.07804,0.05006,0.14622,0.1939,5.89,2401,4147,466,3967,29,4198,2854,3968,31,4,2,424,3,16,3940
133,0.08062,0.05205,0.14602,0.19369,5.92,2453,4147,470,3969,30,4198,2819,3972,31,4,2,440,3,16,3932
134,0.08342,0.05465,0.14579,0.19343,5.94,2486,4148,472,3971,30,4198,2797,3976,30,4,2,447,3,16,3931
135,0.08689,0.05843,0.14552,0.19304,5.97,2468,4149,481,3976,29,4198,2811,3979,30,4,2,434,3,16,3940
136,0.09008,0.06234,0.14526,0.19264,6.0,2435,4150,490,3981,28,4198,2834,3982,30,4,2,415,3,16,3950
137,0.09309,0.06591,0.14502,0.19227,6.03,2426,4152,492,3985,28,4198,2843,3985,29,4,2,403,3,15,3960
138,0.0962,0.06927,0.14477,0.19192,6.05,2448,4153,483,3988,28,4198,2830,3989,29,4,2,401,3,15,3968
139,0.0991,0.07197,0.14454,0.19165,6.08,2534,4154,459,3990,28,4198,2774,3994,28,4,2,420,3,15,3973
140,0.10147,0.07414,0.14435,0.19142,6.11,2603,4155,437,3991,28,4198,2724,3998,28,4,2,435,3,15,3978
141,0.10416,0.07712,0.14413,0.19111,6.14,2619,4156,426,3994,28,4198,2712,4001,28,3,2,432,3,15,3985
142,0.10718,0.08063,0.14389,0.19075,6.16,2600,4157,423,3997,27,4198,2723,4003,27,3,2,418,3,14,3993
143,0.11018,0.08393,0.14365,0.19041,6.19,2562,4158,425,4000,27,4198,2743,4003,27,3,2,400,3,14,4000
144,0.11295,0.08679,0.14343,0.19011,6.22,2519,4158,430,4002,26,4198,2765,4003,27,3,2,382,3,14,4007
145,0.11574,0.0893,0.1432,0.18985,6.25,2484,4159,434,4004,26,4198,2779,4002,27,3,2,371,3,14,4011
146,0.1188,0.09161,0.14295,0.18961,6.27,2475,4159,434,4004,26,4198,2773,4002,27,3,2,371,3,14,4012
147,0.12204,0.09378,0.14269,0.18938,6.3,2499,4159,428,4004,26,4198,2746,4002,27,3,2,382,3,14,4011
148,0.12512,0.09582,0.14244,0.18917,6.33,2505,4159,427,4004,26,4198,2730,4001,27,3,2,389,3,14,4010
149,0.1281,0.09778,0.1422,0.18896,6.36,2507,4159,426,4003,26,4198,2715,4000,27,3,2,397,3,14,4008
150,0.13107,0.09997,0.14195,0.18873,6.39,2480,4159,430,4003,26,4198,2718,3999,27,3,2,397,3,14,4007
151,0.13388,0.10218,0.14172,0.1885,6.41,2437,4160,437,4003,26,4198,2731,3997,27,3,2,392,3,14,4006
152,0.13666,0.10438,0.1415,0.18827,6.44,2422,4160,438,4003,26,4198,2726,3995,28,3,2,395,3,15,4003
153,0.13946,0.1065,0.14127,0.18805,6.47,2435,4160,434,4002,27,4198,2707,3995,28,3,2,405,3,15,4000
154,0.14208,0.10857,0.14105,0.18783,6.5,2464,4160,426,4001,27,4198,2680,3995,28,3,2,418,3,15,3996
155,0.14469,0.11088,0.14084,0.18759,6.52,2484,4160,420,4001,27,4198,2663,3996,28,3,2,425,3,15,3993
156,0.14772,0.11395,0.14059,0.18726,6.55,2464,4160,421,4002,27,4198,2670,3995,28,3,2,419,3,15,3992
157,0.15074,0.1171,0.14034,0.18693,6.58,2443,4160,424,4002,27,4198,2681,3994,28,3,2,411,3,15,3991
158,0.15361,0.12033,0.1401,0.18659,6.61,2399,4161,432,4004,27,4198,2707,3993,28,3,2,395,3,15,3991
159,0.15622,0.12329,0.13988,0.18627,6.64,2361,4161,439,4005,26,4198,2730,3991,28,3,2,382,3,15,3990
160,0.15897,0.12622,0.13966,0.18596,6.66,2356,4161,439,4005,26,4198,2732,3990,28,3,2,379,3,15,3987
161,0.16163,0.12915,0.13943,0.18565,6.69,2341,4162,440,4006,26,4198,2743,3989,28,3,2,375,3,15,3986
162,0.16461,0.13198,0.13919,0.18535,6.72,2361,4162,435,4005,26,4198,2730,3989,28,3,2,383,3,15,3981
163,0.16754,0.13463,0.13894,0.18506,6.75,2386,4162,428,4003,27,4198,2711,3988,28,3,2,395,3,15,3976
164,0.17014,0.13676,0.13872,0.18484,6.77,2442,4162,418,4001,28,4198,2674,3989,29,3,2,417,3,15,3969
165,0.17267,0.1391,0.13851,0.18458,6.8,2453,4162,416,4000,28,4198,2665,3988,29,3,2,424,3,15,3966
166,0.17561,0.14211,0.13827,0.18426,6.83,2421,4162,424,4000,28,4198,2685,3986,29,3,2,416,3,15,3967
167,0.17837,0.14496,0.13804,0.18396,6.86,2383,4162,434,4000,27,4198,2709,3984,29,3,2,404,3,15,3969
168,0.18096,0.14762,0.13782,0.18367,6.88,2341,4162,445,4001,27,4198,2735,3982,29,3,2,392,3,15,3972
169,0.18337,0.15003,0.13762,0.18341,6.91,2305,4162,455,4001,27,4198,2757,3980,29,3,2,383,3,15,3974
170,0.18597,0.15249,0.1374,0.18314,6.94,2287,4162,458,4000,27,4198,2764,3978,29,3,2,381,3,15,3975
171,0.18877,0.155,0.13716,0.18287,6.97,2293,4162,455,3999,27,4198,2755,3977,30,3,2,388,3,15,3975
172,0.1916,0.15746,0.13692,0.18261,7.0,2319,4162,445,3998,28,4198,2731,3977,30,4,2,401,3,16,3974
173,0.19417,0.15978,0.1367,0.18235,7.02,2333,4162,438,3997,28,4198,2714,3977,30,4,2,412,3,16,3973
174,0.19672,0.16219,0.13649,0.18209,7.05,2332,4162,434,3997,28,4198,2707,3977,30,4,2,416,3,16,3975
175,0.19938,0.16496,0.13626,0.18179,7.08,2314,4162,433,3997,28,4198,2713,3977,30,4,2,413,3,16,3977
176,0.20209,0.16781,0.13603,0.18148,7.11,2283,4163,433,3998,28,4198,2727,3977,30,4,2,405,3,16,3980
177,0.2047,0.17062,0.13581,0.18117,7.14,2249,4163,433,4000,27,4198,2744,3977,30,3,2,396,3,16,3985
178,0.20721,0.17329,0.13559,0.18088,7.17,2234,4163,428,4001,27,4198,2749,3978,30,3,2,392,3,16,3989
179,0.20974,0.17587,0.13537,0.1806,7.2,2232,4164,423,4002,27,4198,2746,3980,30,3,2,393,3,15,3992
180,0.21212,0.17833,0.13517,0.18033,7.23,2198,4164,426,4003,27,4198,2765,3980,29,3,2,385,3,15,3996
181,0.21462,0.18073,0.13496,0.18007,7.26,2189,4164,425,4004,27,4198,2769,3980,29,3,2,384,2,15,3999
