epoch,train_r2,validation_r2,train_rmse,validation_rmse,time,band_1,band_2,band_3,band_4,band_5
0,0,0,0.16762,0.20894,2.08,3781,3211,1453,2529,2282
1,0,0,0.16449,0.20705,2.09,2977,2332,2115,1924,2357
2,0,0,0.16235,0.20598,2.1,2458,1953,2110,1880,2354
3,0,0,0.16112,0.20548,2.11,2512,2007,2184,1823,2374
4,0,0,0.15988,0.20526,2.13,2373,1891,2045,1928,2341
5,0,0,0.15908,0.20522,2.14,2366,1889,2047,1926,2342
6,0,0,0.15853,0.20532,2.16,2361,1889,2053,1923,2342
7,0,0,0.1582,0.20552,2.17,2357,1890,2059,1920,2343
8,0,0,0.15801,0.20578,2.18,2353,1892,2067,1917,2343
9,0,0,0.15791,0.20602,2.19,2350,1895,2075,1914,2343
10,0,0,0.15784,0.20621,2.2,2347,1898,2083,1912,2342
11,0,0,0.15776,0.20631,2.22,2344,1901,2091,1910,2342
12,0,0,0.15764,0.20631,2.23,2342,1903,2098,1908,2341
13,0,0,0.15746,0.2062,2.25,2340,1906,2104,1906,2341
14,0,0,0.15711,0.20565,2.26,2455,2023,2286,1905,2300
15,0,0,0.15694,0.20569,2.27,2334,1905,2109,1904,2341
16,0,0,0.15662,0.20531,2.28,2330,1903,2108,1904,2341
17,0,0,0.15626,0.20487,2.3,2326,1901,2107,1904,2342
18,0,0,0.1559,0.2044,2.31,2323,1899,2106,1903,2342
19,0,0,0.15554,0.20391,2.32,2320,1897,2105,1903,2342
20,0,0,0.15519,0.20341,2.33,2317,1896,2104,1903,2342
21,0,0,0.15486,0.20292,2.35,2314,1894,2104,1903,2342
22,0,0,0.15456,0.20246,2.36,2312,1893,2103,1903,2342
23,0,0,0.15429,0.20203,2.37,2309,1893,2103,1903,2342
24,0,0,0.15406,0.20162,2.38,2307,1892,2103,1903,2342
25,0,0,0.15385,0.20126,2.39,2305,1891,2103,1904,2341
26,0,0,0.15366,0.20097,2.41,2303,1891,2103,1904,2341
27,0,0,0.15347,0.20071,2.42,2301,1891,2103,1905,2340
28,0,0,0.1533,0.20048,2.43,2299,1891,2104,1905,2340
29,0,0,0.15312,0.20027,2.44,2298,1891,2104,1906,2340
30,0,0,0.15294,0.20008,2.46,2296,1892,2105,1907,2339
31,0,0,0.15275,0.19991,2.47,2295,1892,2105,1908,2338
32,0,0,0.15255,0.19975,2.48,2293,1893,2106,1909,2338
33,0,0,0.15235,0.19961,2.49,2292,1894,2106,1910,2337
34,0.00175,0,0.15215,0.19948,2.51,2291,1894,2106,1911,2336
35,0.00443,0,0.15195,0.19937,2.52,2289,1895,2106,1913,2335
36,0.0071,0,0.15174,0.19927,2.53,2288,1896,2106,1914,2334
37,0.00968,0,0.15154,0.19918,2.54,2287,1897,2105,1916,2333
38,0.01215,0,0.15136,0.19909,2.55,2286,1898,2105,1917,2333
39,0.01449,0,0.15118,0.19902,2.57,2285,1899,2105,1919,2332
40,0.01674,0,0.151,0.19895,2.58,2284,1900,2105,1920,2330
41,0.01886,0.00061,0.15084,0.19888,2.59,2283,1901,2106,1921,2329
42,0.0209,0.00136,0.15068,0.1988,2.6,2282,1903,2106,1923,2328
43,0.02288,0.00217,0.15053,0.19872,2.62,2282,1904,2106,1924,2327
44,0.02481,0.00306,0.15038,0.19863,2.63,2281,1906,2107,1925,2326
45,0.02671,0.00407,0.15024,0.19853,2.64,2280,1907,2107,1926,2325
46,0.02859,0.00519,0.15009,0.19842,2.65,2279,1909,2108,1927,2324
47,0.03045,0.00643,0.14995,0.1983,2.67,2278,1910,2108,1928,2322
48,0.03231,0.00779,0.1498,0.19816,2.68,2277,1912,2109,1929,2321
49,0.03414,0.00925,0.14966,0.19802,2.69,2277,1914,2110,1930,2320
50,0.03596,0.01078,0.14952,0.19786,2.7,2276,1915,2110,1931,2319
51,0.03774,0.01239,0.14938,0.1977,2.71,2276,1917,2110,1932,2318
52,0.03949,0.01403,0.14925,0.19754,2.73,2275,1918,2111,1933,2317
53,0.0412,0.01568,0.14911,0.19737,2.74,2275,1919,2111,1934,2315
54,0.04286,0.01733,0.14898,0.19721,2.75,2275,1920,2111,1935,2314
