epoch,train_r2,validation_r2,train_rmse,validation_rmse,time,band_1,band_2
0,0,0,0.19553,0.19475,0.06,31,36
1,0,0,0.19237,0.19161,0.07,31,36
2,0,0,0.18936,0.1886,0.07,32,36
3,0,0,0.18658,0.18582,0.08,32,36
4,0,0,0.18384,0.18309,0.09,32,36
5,0,0,0.18112,0.18037,0.1,32,36
6,0,0,0.17844,0.1777,0.11,32,36
7,0,0,0.17581,0.17507,0.12,32,36
8,0,0,0.17323,0.1725,0.12,32,36
9,0,0,0.17071,0.16998,0.13,32,36
10,0,0,0.16826,0.16753,0.14,32,36
11,0,0,0.16588,0.16516,0.16,32,36
12,0,0,0.16358,0.16287,0.16,32,36
13,0,0,0.16137,0.16067,0.17,32,36
14,0,0,0.15924,0.15855,0.18,32,36
15,0,0,0.1572,0.15651,0.19,32,36
16,0,0,0.15524,0.15455,0.2,32,36
17,0,0,0.15335,0.15268,0.21,32,36
18,0,0,0.15155,0.15088,0.22,32,36
19,0,0,0.14983,0.14917,0.23,32,36
20,0,0,0.14819,0.14754,0.24,32,36
21,0,0,0.14665,0.146,0.25,32,36
22,0,0,0.14518,0.14454,0.26,32,36
23,0,0,0.14381,0.14318,0.26,32,36
24,0,0,0.14252,0.14189,0.27,32,36
25,0,0,0.14131,0.1407,0.28,32,36
26,0,0,0.14018,0.13958,0.29,32,36
27,0,0,0.13914,0.13854,0.3,32,36
28,0,0,0.13817,0.13759,0.31,32,36
29,0,0,0.13727,0.1367,0.32,32,36
30,0,0.00077,0.13645,0.13589,0.33,32,35
31,0.01012,0.01169,0.13569,0.13514,0.34,32,35
32,0.02014,0.02157,0.135,0.13447,0.35,32,35
33,0.02916,0.03046,0.13438,0.13385,0.36,33,35
34,0.03724,0.0384,0.13382,0.1333,0.37,33,35
35,0.04442,0.04545,0.13332,0.13281,0.37,33,35
36,0.05077,0.05166,0.13288,0.13238,0.38,33,35
37,0.05635,0.0571,0.13249,0.132,0.39,33,35
38,0.06122,0.06184,0.13214,0.13167,0.4,33,35
39,0.06545,0.06594,0.13184,0.13138,0.41,33,35
40,0.0691,0.06946,0.13159,0.13113,0.41,33,35
41,0.07222,0.07246,0.13137,0.13092,0.42,33,35
42,0.07488,0.07499,0.13118,0.13074,0.43,33,35
43,0.0771,0.0771,0.13102,0.13059,0.44,33,35
44,0.07896,0.07884,0.13089,0.13047,0.45,33,35
45,0.08048,0.08025,0.13078,0.13037,0.45,33,35
46,0.0817,0.08138,0.13069,0.13029,0.46,33,35
47,0.08268,0.08225,0.13062,0.13023,0.47,33,35
48,0.08344,0.08292,0.13057,0.13018,0.48,33,35
49,0.08401,0.0834,0.13053,0.13015,0.49,33,35
50,0.08442,0.08373,0.1305,0.13012,0.49,33,35
51,0.08471,0.08394,0.13048,0.13011,0.5,33,35
52,0.08489,0.08405,0.13047,0.1301,0.51,33,35
53,0.08499,0.08409,0.13046,0.1301,0.52,33,35
54,0.08503,0.08407,0.13046,0.1301,0.53,33,35
55,0.08502,0.084,0.13046,0.1301,0.53,33,35
56,0.08498,0.08391,0.13046,0.13011,0.54,33,35
57,0.08492,0.08381,0.13046,0.13012,0.55,33,35
58,0.08486,0.08371,0.13047,0.13013,0.56,33,35
59,0.08479,0.0836,0.13047,0.13013,0.56,33,35
60,0.08473,0.08351,0.13048,0.13014,0.57,33,35
61,0.08467,0.08344,0.13048,0.13014,0.58,33,35
62,0.08464,0.08338,0.13048,0.13015,0.59,33,35
63,0.08462,0.08335,0.13049,0.13015,0.59,33,35
64,0.08462,0.08334,0.13049,0.13015,0.6,33,35
65,0.08464,0.08335,0.13048,0.13015,0.61,33,35
66,0.08468,0.08338,0.13048,0.13015,0.62,33,35
67,0.08473,0.08344,0.13048,0.13015,0.63,33,35
68,0.08481,0.08351,0.13047,0.13014,0.63,33,35
69,0.0849,0.08361,0.13047,0.13013,0.64,33,35
70,0.085,0.08371,0.13046,0.13013,0.65,33,35
71,0.08512,0.08384,0.13045,0.13012,0.66,33,35
72,0.08524,0.08397,0.13044,0.13011,0.67,33,35
73,0.08538,0.08412,0.13043,0.1301,0.67,33,35
74,0.08552,0.08427,0.13042,0.13009,0.68,33,35
75,0.08566,0.08443,0.13041,0.13007,0.69,33,35
76,0.08581,0.08459,0.1304,0.13006,0.7,33,35
77,0.08596,0.08476,0.13039,0.13005,0.71,33,35
78,0.0861,0.08492,0.13038,0.13004,0.71,33,35
79,0.08625,0.08509,0.13037,0.13003,0.72,33,35
80,0.08639,0.08525,0.13036,0.13002,0.73,33,35
81,0.08653,0.08541,0.13035,0.13001,0.74,33,35
82,0.08667,0.08556,0.13034,0.12999,0.75,33,35
83,0.0868,0.08571,0.13033,0.12998,0.75,33,35
84,0.08693,0.08586,0.13032,0.12997,0.76,33,35
85,0.08706,0.086,0.13031,0.12996,0.77,33,35
86,0.08718,0.08614,0.1303,0.12995,0.78,33,35
87,0.08729,0.08627,0.1303,0.12994,0.79,33,35
88,0.0874,0.08639,0.13029,0.12993,0.79,33,35
89,0.08751,0.08651,0.13028,0.12993,0.8,33,35
90,0.08761,0.08663,0.13027,0.12992,0.81,33,35
91,0.08771,0.08675,0.13027,0.12991,0.82,33,35
92,0.08781,0.08686,0.13026,0.1299,0.83,33,35
93,0.0879,0.08696,0.13025,0.12989,0.83,33,35
94,0.08799,0.08706,0.13024,0.12989,0.84,33,35
95,0.08808,0.08716,0.13024,0.12988,0.85,33,35
96,0.08817,0.08726,0.13023,0.12987,0.86,33,35
97,0.08826,0.08736,0.13023,0.12987,0.86,33,35
98,0.08834,0.08745,0.13022,0.12986,0.87,33,35
99,0.08843,0.08755,0.13021,0.12985,0.88,33,35
100,0.08851,0.08764,0.13021,0.12985,0.89,33,35
101,0.0886,0.08773,0.1302,0.12984,0.9,33,35
102,0.08868,0.08782,0.1302,0.12983,0.9,33,35
103,0.08877,0.08791,0.13019,0.12983,0.91,33,35
104,0.08885,0.088,0.13018,0.12982,0.92,33,35
105,0.08894,0.08808,0.13018,0.12981,0.93,33,35
106,0.08902,0.08817,0.13017,0.12981,0.94,33,35
107,0.08911,0.08826,0.13017,0.1298,0.95,33,35
108,0.08919,0.08835,0.13016,0.1298,0.95,33,35
109,0.08928,0.08844,0.13015,0.12979,0.96,33,35
110,0.08936,0.08852,0.13015,0.12978,0.97,33,35
111,0.08945,0.08861,0.13014,0.12978,0.98,33,35
112,0.08954,0.0887,0.13013,0.12977,0.98,33,35
113,0.08963,0.08879,0.13013,0.12976,0.99,33,35
114,0.08972,0.08888,0.13012,0.12976,1.0,33,35
115,0.08981,0.08897,0.13012,0.12975,1.01,33,35
116,0.0899,0.08906,0.13011,0.12975,1.01,33,35
117,0.08999,0.08915,0.1301,0.12974,1.02,33,35
118,0.09008,0.08924,0.1301,0.12973,1.03,33,35
119,0.09017,0.08933,0.13009,0.12973,1.04,33,35
120,0.09026,0.08942,0.13008,0.12972,1.05,33,35
121,0.09035,0.08951,0.13008,0.12971,1.05,33,35
122,0.09044,0.0896,0.13007,0.12971,1.06,33,35
123,0.09053,0.08969,0.13006,0.1297,1.07,33,35
124,0.09063,0.08978,0.13006,0.12969,1.08,33,35
125,0.09072,0.08987,0.13005,0.12969,1.09,33,35
126,0.09081,0.08996,0.13004,0.12968,1.09,33,35
127,0.0909,0.09006,0.13004,0.12967,1.1,33,35
128,0.091,0.09015,0.13003,0.12967,1.11,33,35
129,0.09109,0.09024,0.13002,0.12966,1.12,33,35
130,0.09118,0.09033,0.13002,0.12965,1.13,33,35
131,0.09127,0.09042,0.13001,0.12965,1.14,33,35
132,0.09137,0.09052,0.13,0.12964,1.14,33,35
133,0.09146,0.09061,0.13,0.12963,1.15,33,35
134,0.09156,0.0907,0.12999,0.12963,1.16,33,35
135,0.09165,0.0908,0.12998,0.12962,1.17,33,35
136,0.09174,0.09089,0.12998,0.12961,1.17,33,35
137,0.09184,0.09099,0.12997,0.12961,1.18,33,35
138,0.09193,0.09108,0.12996,0.1296,1.19,33,35
139,0.09203,0.09117,0.12996,0.12959,1.2,33,35
140,0.09212,0.09127,0.12995,0.12959,1.21,33,35
141,0.09222,0.09137,0.12994,0.12958,1.21,33,35
142,0.09231,0.09146,0.12994,0.12957,1.22,33,35
143,0.09241,0.09156,0.12993,0.12957,1.23,33,35
144,0.0925,0.09165,0.12992,0.12956,1.24,33,35
145,0.0926,0.09175,0.12992,0.12955,1.24,33,35
