epoch,train_r2,validation_r2,train_rmse,validation_rmse,time,band_1,band_2
120,0.03184,0.03184,0.1342,0.13376,1.4,10,367
121,0.03229,0.03229,0.13416,0.13373,1.41,10,367
122,0.03277,0.03275,0.13413,0.13369,1.42,10,367
123,0.03329,0.03325,0.13409,0.13366,1.43,10,367
124,0.03384,0.0338,0.13406,0.13362,1.43,10,367
125,0.03443,0.03438,0.13402,0.13358,1.44,10,367
126,0.03506,0.03501,0.13397,0.13354,1.46,10,367
127,0.03574,0.03567,0.13392,0.13349,1.47,10,367
128,0.03647,0.03638,0.13387,0.13344,1.48,10,367
129,0.03724,0.03714,0.13382,0.13339,1.48,10,367
130,0.03807,0.03795,0.13376,0.13334,1.49,10,367
131,0.03894,0.03882,0.1337,0.13328,1.5,9,367
132,0.03987,0.03975,0.13364,0.13321,1.51,9,367
133,0.04084,0.04073,0.13357,0.13314,1.52,9,367
134,0.04186,0.04174,0.1335,0.13307,1.52,9,367
135,0.04292,0.0428,0.13342,0.133,1.53,9,367
136,0.04403,0.0439,0.13335,0.13292,1.54,9,367
137,0.04519,0.04503,0.13327,0.13284,1.55,9,367
138,0.04639,0.0462,0.13318,0.13276,1.56,9,367
139,0.04761,0.04742,0.1331,0.13268,1.57,9,367
140,0.04886,0.04867,0.13301,0.13259,1.57,9,367
141,0.05013,0.04996,0.13292,0.1325,1.58,9,367
142,0.05142,0.05129,0.13283,0.13241,1.59,9,367
143,0.05273,0.05263,0.13274,0.13231,1.6,9,367
144,0.05405,0.05397,0.13265,0.13222,1.61,9,367
145,0.05538,0.05529,0.13255,0.13213,1.62,9,366
146,0.05671,0.05658,0.13246,0.13204,1.63,9,366
147,0.05803,0.05787,0.13237,0.13195,1.63,9,366
148,0.05935,0.05916,0.13227,0.13186,1.64,9,366
149,0.06065,0.06046,0.13218,0.13177,1.65,9,365
150,0.06194,0.06175,0.13209,0.13168,1.66,9,365
151,0.06322,0.06303,0.132,0.13159,1.67,9,364
152,0.06447,0.06429,0.13191,0.1315,1.68,9,363
153,0.06571,0.0655,0.13183,0.13141,1.69,9,362
154,0.06694,0.0667,0.13174,0.13133,1.7,9,361
155,0.06826,0.06801,0.13165,0.13124,1.71,9,359
156,0.06981,0.06953,0.13154,0.13113,1.72,9,354
157,0.07131,0.07096,0.13143,0.13103,1.73,9,347
158,0.07325,0.07291,0.13129,0.13089,1.73,9,340
159,0.07521,0.07489,0.13115,0.13075,1.74,9,332
160,0.07546,0.07523,0.13114,0.13073,1.75,9,328
161,0.07686,0.07665,0.13104,0.13063,1.76,9,330
162,0.07751,0.0773,0.13099,0.13058,1.77,9,336
163,0.07821,0.07809,0.13094,0.13052,1.78,9,337
164,0.07912,0.07906,0.13088,0.13046,1.78,9,337
165,0.08051,0.08046,0.13078,0.13036,1.79,9,334
166,0.0803,0.0804,0.13079,0.13036,1.8,9,325
167,0.08055,0.08069,0.13078,0.13034,1.81,9,320
168,0.08118,0.08139,0.13073,0.13029,1.82,9,317
169,0.08204,0.08234,0.13067,0.13022,1.83,9,318
170,0.08311,0.08351,0.13059,0.13014,1.83,9,321
171,0.08465,0.08514,0.13048,0.13002,1.84,9,327
172,0.08631,0.08673,0.13037,0.12991,1.85,9,333
173,0.08661,0.08709,0.13034,0.12989,1.86,9,335
174,0.0879,0.08837,0.13025,0.12979,1.87,9,334
175,0.08834,0.08892,0.13022,0.12976,1.88,9,329
176,0.0889,0.0895,0.13018,0.12971,1.88,9,328
177,0.09006,0.09065,0.1301,0.12963,1.89,9,330
178,0.09121,0.09171,0.13002,0.12956,1.9,10,333
179,0.09176,0.09226,0.12998,0.12952,1.91,10,334
180,0.09299,0.09352,0.12989,0.12943,1.92,10,332
181,0.09357,0.09412,0.12985,0.12938,1.93,10,331
182,0.09453,0.09506,0.12978,0.12932,1.93,10,331
183,0.0953,0.09575,0.12972,0.12927,1.94,10,333
184,0.09617,0.09661,0.12966,0.12921,1.95,10,333
185,0.09695,0.09743,0.1296,0.12915,1.96,10,331
186,0.0977,0.09818,0.12955,0.12909,1.97,10,331
187,0.09864,0.09906,0.12948,0.12903,1.98,10,333
188,0.09926,0.09963,0.12944,0.12899,1.98,10,334
189,0.10019,0.1006,0.12937,0.12892,1.99,10,332
190,0.10085,0.10127,0.12932,0.12887,2.0,11,331
191,0.1017,0.10209,0.12926,0.12881,2.01,11,332
192,0.10237,0.1027,0.12921,0.12877,2.02,11,333
193,0.10319,0.10355,0.12916,0.12871,2.03,11,333
194,0.10388,0.10427,0.12911,0.12866,2.03,11,332
195,0.10465,0.10503,0.12905,0.1286,2.04,11,332
196,0.10537,0.10572,0.129,0.12855,2.05,11,333
197,0.10611,0.10647,0.12895,0.1285,2.06,11,333
198,0.10683,0.10723,0.12889,0.12844,2.07,11,332
199,0.10754,0.10796,0.12884,0.12839,2.07,12,332
200,0.10827,0.10867,0.12879,0.12834,2.08,12,333
201,0.10896,0.10937,0.12874,0.12829,2.09,12,333
202,0.10969,0.11015,0.12869,0.12823,2.1,12,332
203,0.11037,0.11086,0.12864,0.12818,2.11,12,332
204,0.11109,0.11157,0.12859,0.12813,2.12,12,333
205,0.11176,0.11224,0.12854,0.12808,2.12,12,333
206,0.11247,0.11299,0.12848,0.12803,2.13,13,332
207,0.11315,0.11368,0.12844,0.12798,2.14,13,332
208,0.11385,0.11438,0.12839,0.12793,2.15,13,332
209,0.11451,0.11504,0.12834,0.12788,2.16,13,333
210,0.11521,0.11578,0.12829,0.12783,2.17,13,332
211,0.11587,0.11646,0.12824,0.12778,2.17,13,332
212,0.11655,0.11714,0.12819,0.12773,2.18,14,332
213,0.1172,0.11779,0.12814,0.12768,2.19,14,333
214,0.11787,0.1185,0.12809,0.12763,2.2,14,332
215,0.11851,0.11917,0.12805,0.12758,2.21,14,332
216,0.11917,0.11982,0.128,0.12754,2.22,14,332
217,0.1198,0.12045,0.12795,0.12749,2.23,15,333
218,0.12045,0.12113,0.12791,0.12744,2.24,15,332
219,0.12107,0.12177,0.12786,0.12739,2.25,15,332
220,0.12171,0.1224,0.12781,0.12735,2.25,15,332
221,0.12233,0.12302,0.12777,0.1273,2.26,15,333
222,0.12296,0.12367,0.12772,0.12726,2.27,16,332
223,0.12357,0.12429,0.12768,0.12721,2.28,16,332
224,0.12419,0.1249,0.12763,0.12717,2.29,16,332
225,0.1248,0.12551,0.12759,0.12712,2.3,16,333
226,0.12542,0.12614,0.12754,0.12708,2.3,17,332
227,0.12603,0.12675,0.1275,0.12703,2.31,17,332
228,0.12663,0.12735,0.12746,0.12699,2.32,17,332
229,0.12724,0.12796,0.12741,0.12694,2.33,18,332
230,0.12785,0.12859,0.12737,0.1269,2.34,18,332
231,0.12846,0.1292,0.12732,0.12685,2.35,18,332
232,0.12907,0.1298,0.12728,0.12681,2.35,19,332
233,0.1297,0.13043,0.12723,0.12677,2.36,19,332
234,0.13033,0.13107,0.12719,0.12672,2.37,19,332
235,0.13098,0.13172,0.12714,0.12667,2.38,20,332
236,0.13166,0.13239,0.12709,0.12662,2.39,20,332
237,0.13237,0.13311,0.12704,0.12657,2.4,21,332
238,0.13313,0.13387,0.12698,0.12651,2.4,22,332
239,0.13395,0.13471,0.12692,0.12645,2.41,22,332
240,0.13486,0.13564,0.12685,0.12638,2.42,23,332
241,0.13589,0.13671,0.12678,0.12631,2.43,25,332
242,0.13703,0.13793,0.1267,0.12622,2.44,26,332
243,0.13828,0.13929,0.1266,0.12612,2.45,28,332
244,0.13967,0.1408,0.1265,0.12601,2.45,29,332
245,0.14121,0.1425,0.12639,0.12588,2.46,32,332
246,0.143,0.14449,0.12626,0.12574,2.47,35,332
247,0.14508,0.14686,0.1261,0.12556,2.48,38,332
248,0.14713,0.14933,0.12595,0.12538,2.49,43,332
