epoch,train_r2,validation_r2,train_rmse,validation_rmse,time,band_1,band_2,band_3,band_4,band_5,band_6,band_7,band_8,band_9,band_10,band_11,band_12,band_13,band_14,band_15
0,0,0,0.18103,0.2167,0.35,289,258,276,271,237,279,287,265,256,275,246,234,283,260,242
1,0,0,0.17607,0.21213,0.39,292,266,276,273,236,283,289,272,246,283,246,231,285,255,250
2,0,0,0.17134,0.2079,0.41,291,264,281,271,235,280,287,271,257,283,252,234,280,259,247
3,0,0,0.16829,0.20494,0.44,291,264,284,270,234,279,286,271,263,284,256,236,277,261,247
4,0,0,0.16577,0.2024,0.47,291,265,284,269,235,279,285,271,262,284,256,235,277,260,247
5,0,0,0.16376,0.20026,0.5,293,266,285,267,238,280,285,272,257,282,253,231,277,258,247
6,0,0,0.16272,0.19893,0.53,295,267,286,264,241,281,284,272,251,280,249,227,277,256,248
7,0,0,0.16249,0.19827,0.56,295,266,285,264,242,281,284,271,249,279,248,226,278,256,247
8,0,0,0.16268,0.19799,0.59,294,266,285,264,242,281,284,271,249,279,247,226,278,255,247
9,0,0,0.1631,0.19795,0.62,294,266,285,263,242,281,284,271,249,279,248,226,278,255,247
10,0,0,0.1636,0.19802,0.65,294,267,285,263,241,281,284,272,250,280,249,227,277,255,247
11,0,0,0.16406,0.19811,0.67,294,268,286,263,241,281,284,273,252,281,250,227,276,255,247
12,0,0,0.16441,0.19818,0.7,294,269,287,263,240,281,283,273,253,282,251,228,276,255,248
13,0,0,0.1645,0.19812,0.73,294,269,287,263,240,281,283,273,253,282,251,228,276,255,248
14,0,0,0.16429,0.19791,0.76,294,269,287,263,240,281,283,273,252,282,251,228,276,255,247
15,0,0,0.16392,0.19761,0.79,294,268,286,263,241,281,283,272,251,281,250,228,277,255,247
16,0,0,0.16343,0.19726,0.81,294,268,285,263,241,281,283,272,250,280,249,227,277,254,246
17,0,0,0.16286,0.19686,0.84,293,267,285,263,241,281,283,272,250,280,249,227,277,254,246
18,0,0,0.16225,0.19646,0.87,293,268,285,263,241,281,283,272,250,280,249,227,278,254,246
19,0,0,0.16165,0.19607,0.9,293,268,285,262,241,281,283,272,250,280,249,228,277,254,246
20,0,0,0.16111,0.19574,0.92,293,268,286,262,241,282,283,273,251,281,250,228,277,254,246
21,0,0,0.16068,0.19549,0.95,293,269,286,262,240,282,283,274,252,281,251,229,277,253,247
