algorithm,rows,columns,time,target_size,final_size,r2_original,r2_train,r2_test,rmse_original,rmse_train,rmse_test,selected_features
mi,871,4200,13.01,2,2,0.51,0.48,0.65,0.1,0.11,0.08,395;356
mi,871,4200,13.45,5,5,0.51,0.49,0.65,0.1,0.11,0.08,395;356;394;396;357
mi,871,4200,13.4,10,10,0.51,0.49,0.65,0.1,0.11,0.08,395;356;394;396;357;355;397;393;354;353
mi,871,4200,13.58,15,15,0.51,0.51,0.62,0.1,0.11,0.09,395;356;394;396;357;355;397;393;354;353;392;398;358;359;352
mi,871,4200,13.26,20,20,0.51,0.5,0.64,0.1,0.11,0.09,395;356;394;396;357;355;397;393;354;353;392;398;358;359;352;391;308;360;399;390
lasso,871,4200,0.04,2,2,0.51,0.28,0.38,0.1,0.13,0.11,4199;1410
lasso,871,4200,0.04,5,5,0.51,0.28,0.38,0.1,0.13,0.11,4199;1410;1408;1407;1406
lasso,871,4200,0.04,10,10,0.51,0.28,0.34,0.1,0.13,0.12,4199;1410;1408;1407;1406;1405;1404;1403;1402;1401
lasso,871,4200,0.04,15,15,0.51,0.3,0.31,0.1,0.13,0.12,4199;1410;1408;1407;1406;1405;1404;1403;1402;1401;1400;1399;1398;1397;1396
lasso,871,4200,0.04,20,20,0.51,0.29,0.33,0.1,0.13,0.12,4199;1410;1408;1407;1406;1405;1404;1403;1402;1401;1400;1399;1398;1397;1396;1395;1394;1393;1392;1391
fscr,871,4200,18.75,2,2,0.51,0.54,0.62,0.1,0.1,0.09,338;2421
fscr,871,4200,25.78,5,5,0.51,0.78,0.8,0.1,0.07,0.06,396;1206;2024;2650;3464
fscr,871,4200,38.36,10,10,0.51,0.79,0.8,0.1,0.07,0.06,427;1135;1384;1489;1873;2224;2466;2989;3458;3777
fscr,871,4200,47.39,15,15,0.51,0.87,0.85,0.1,0.06,0.06,418;427;1168;1266;1360;1755;1873;2022;2137;2475;2491;2994;3436;3458;3804
fscr,871,4200,58.72,20,20,0.51,0.83,0.83,0.1,0.06,0.06,456;459;1204;1300;1305;1627;1730;1842;1921;2020;2129;2155;2444;2449;2457;3154;3392;3458;3735;3804
sfs,871,4200,35.81,2,2,0.51,0.67,0.73,0.1,0.09,0.07,404;966
sfs,871,4200,91.88,5,5,0.51,0.81,0.82,0.1,0.07,0.06,404;966;3166;3638;3819
sfs,871,4200,191.33,10,10,0.51,0.83,0.8,0.1,0.06,0.06,36;404;951;966;3076;3166;3416;3567;3638;3819
sfs,871,4200,294.32,15,15,0.51,0.87,0.77,0.1,0.05,0.07,36;404;943;951;953;966;3076;3124;3126;3166;3353;3416;3567;3638;3819
sfs,871,4200,429.77,20,20,0.51,0.83,0.82,0.1,0.06,0.06,36;404;943;951;953;960;966;3076;3124;3126;3166;3353;3416;3567;3638;3686;3687;3738;3739;3819
